1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-4511650,-4422334,-4314139,-4019428,-3568718,-3132855,-2981921,-2557480,-2409330,-2152242,-2099940,-2041968,-1803691,-1571684,-1209739,-814179,-746011,-437894,-237239,-42856,90548,272391,447963,617265,863967,1020728,1111679,1255899,1609124,1740803,1866212,2106271,2083490,2008000,2108327,2141830,2212861,2294376,2270452,2174277,2376784,2219166,2269330,2279609,2168330,2046116,1877192,2059590,1947568,2014827,1834792,1828522,1691996,1712320,1469739,1438387,1442559,1444838,1380824,1324390,1128387,1059412,984167,1111312,1023526,727974,627647,720825,730682,661760,614774,341683,203733,59513,-227503,-384264,-540898,-710200,-885773,-1205207,-1466951,-1684529,-1906440
-4486196,-4240253,-3942081,-3473913,-3250142,-2949972,-2772611,-2610686,-2473372,-2285162,-2116752,-1816912,-1563435,-1118763,-855066,-392552,-129884,90241,451199,456930,657044,723985,831608,813272,986704,919691,1240878,1397565,1775584,1915663,2049072,2175811,2160712,2348952,2608217,2708274,2708835,3000754,3080799,3268226,3334931,3262017,3315381,3145933,3335780,3606893,3782019,3904287,3917628,4007701,3931827,4038130,4024789,3770075,3860089,3761957,3905915,3859222,3640525,3580491,3523176,3406261,3192444,3105728,3188842,3123019,3216711,3103314,3196786,3243710,3100932,2984564,2837814,2684394,2288109,2121348,1946820,1766718,1579946,1239007,1232723,811700,576343
-4481813,-3921652,-3331937,-2949431,-2624191,-2457603,-2070378,-1766349,-1469390,-1179502,-896684,-482836,-31013,292279,546815,721563,1181038,1630144,1856398,2295824,2513696,2718739,2867006,2874094,3067843,3089011,3123664,3286284,3656806,3757282,3650093,3784431,4092784,4449271,4523972,4630029,4877680,5210459,5295305,5373080,5250199,5263412,5084835,5134328,5115902,5366841,5395122,5505368,5613498,5600910,5822888,5802828,5788687,5673853,5787942,5896182,6061915,6012421,6063932,5802097,5633630,5555856,5653938,5770208,5671222,5807568,5694441,5731899,5501650,5367312,5349269,5273824,5214639,5148271,4978580,4882975,4869343,4678441,4324009,4102313,3890200,3671016,3444762
-4512736,-4146685,-3788103,-3521225,-2989372,-2719607,-2390908,-2026229,-1820474,-1450642,-1320488,-1029141,-745264,-332811,57230,318696,572691,988571,1227625,1459209,1538518,1943436,2064876,2226518,2465189,2720025,2633901,2805722,3194487,3385694,3535103,3449936,3584404,3902676,3877223,3821114,3771648,3921876,4250751,4332926,4220121,4100751,4160515,4411366,4576748,4614100,4878617,4901029,4914931,5130418,5130418,5229377,5478417,5456006,5235181,5003627,4833417,4781124,4742641,4788094,4680047,4597872,4768421,4420928,4316342,4469664,4485007,4419038,4202303,4060365,3774748,3617868,3565124,3444927,3265636,3078875,3052416,2850714,2606140,2389497,2165383,1997633,1758578
-4845528,-4459876,-3878747,-3662232,-3300192,-2946022,-2599722,-2261293,-1695638,-1549881,-1396896,-1089949,-869986,-578779,-295443,-82236,185359,429088,648539,684749,977645,1244751,1257703,1470205,1490166,1724746,2029157,2080318,2253468,2418747,2576156,2570231,2711900,2639627,2702568,2933772,3043958,3334517,3428963,3607692,3861545,3951128,4229932,4285025,4317765,4612075,4643557,4667168,4931309,4984411,4984411,5022455,5006714,5112883,5081401,5042049,5010083,4718681,4655718,4552297,4702240,4615665,4289216,4186900,4076714,3751334,3499373,3288429,3112759,3045266,2829702,2741825,2699332,2747828,2558937,2362176,2157544,1747091,1440191,1211948,975834,731851,552806
-4368565,-3791994,-3395013,-2763438,-2496207,-2124037,-1802804,-1400419,-1233174,-894085,-379571,-57024,257253,563259,860995,1379246,1402964,1675888,1940543,2196927,2445040,2777589,3276485,3417488,3431626,3704445,3913923,4359788,4521150,4928922,5176205,5206272,5628318,5768915,5901242,6183313,6299099,6406615,6595083,6495155,6838251,6912685,6998528,7075790,7359679,7408845,7441926,7594588,7687708,7855412,7688853,7680583,7664042,7736466,7710706,7897743,7890082,7832189,7946949,7872515,7839173,7748198,7648952,7253719,7137933,7013876,6663208,6351624,6035326,5878187,5491494,5317814,4973966,4783745,4585255,4378494,4163462,3741036,3367808,3106394,2858280,2601896,2488263
-4566478,-4141626,-3599330,-3127245,-2728404,-2053103,-1671604,-1407066,-1042907,-750925,-644432,-575663,-246187,-176858,135278,438744,659808,945932,1268598,1537382,1797495,1977288,2378550,2612652,2837403,3054164,3345432,3544852,3735602,4085789,4070464,4149230,4374966,4677871,4816598,5247766,5369152,5768066,5800065,5815219,5713334,5794802,5864166,5893502,5649430,5692783,5727464,5605256,5485569,5494239,5585382,5629435,5612094,5586083,5551401,5232552,4950227,4889534,5015536,5127007,5053512,4712335,4324484,4155343,4068827,3719080,3314298,2998054,2829390,2787438,2614029,2489845,2054688,1628137,1420046,1203285,735236,501134,258362,21946,-368124,-357274,-776352
-4546478,-4366227,-3930846,-3235326,-2818085,-2232139,-2030169,-1640140,-1259181,-829094,-466276,-112528,232149,430683,825183,1142649,1451044,1750369,1966891,2451052,2950461,3213504,3432145,3698121,3933953,4094440,4346204,4554824,4909354,5087398,5268807,5172871,5336139,5534814,5679941,6046067,6173053,6430876,6539722,6639497,6554936,6950106,6784850,6848343,6958444,7003796,7040078,7067289,7367362,7376433,7376433,7403315,7693945,7499278,7388605,7441225,7386802,7576286,7503722,7698334,7919529,7986964,7878118,7760203,7766589,7314635,7336482,7226975,7063707,7057087,6731902,6690969,6572668,6497693,6280002,6053241,5531850,5002219,4760014,4496971,4065937,3685808,3134558
-4526478,-4159232,-3800812,-3589942,-3084081,-2961734,-2545035,-2095917,-1698158,-1309870,-1266046,-1036572,-676695,-326288,266048,471535,793531,1106055,1654108,1947692,2272742,2547385,2812557,3008040,3567356,3780037,3878635,4239236,4571543,4770423,5183772,5363710,5653051,5993470,5847148,5709030,6126067,6249183,6190262,6422751,6517455,6658282,6734046,6997377,7054199,7049337,7087219,7038849,6955210,7026724,6808018,6638325,6442503,6414092,6081948,6196180,6139357,6073064,6245009,6159775,6065071,6099428,5985783,5959199,5605631,5549862,5398335,5072989,4902521,4846097,4859639,4660760,4452410,4234590,3713069,3476307,3356595,3418081,3097771,2640604,2676400,2254889,1725060
-4506478,-4022826,-3293684,-3069175,-2615134,-2300642,-1705382,-1155300,-740741,-336053,58765,504932,1010685,1632823,1996567,2342032,2650736,2976461,3241044,3436113,3924220,4210463,4486835,4944902,5459600,5633074,6029548,6287589,6504739,6537982,6735391,6841175,7173240,7341037,7498965,7825645,7959481,8087797,8118535,8227110,8492243,8903029,8981993,9353809,9144997,9194349,9233831,9236081,9017679,9048596,9177384,9022224,9145256,9115645,8986268,8983354,9244181,9413018,9194583,9078569,8979865,8871290,9084662,8608317,8470131,8202916,8225299,7872418,7714485,7872484,7617616,7091904,6615535,6501813,6264922,6018161,5761529,5674340,5397968,5188234,4798509,4252169,3970094
-4486478,-4032783,-3328592,-2784309,-2013495,-1894338,-1258977,-817347,-423491,-328222,-76108,591445,981722,1361729,1731465,2030664,2379859,2718784,3047438,3365822,3617787,3907388,3896187,4525361,4864567,5121328,5416491,5391914,5556593,5772272,5977681,6158300,6343168,6517765,6682093,6787556,6931342,7116038,7239284,7352259,7458745,7505747,7587910,7854012,7915634,7966986,8008068,7918477,7939018,8294108,8416237,8405966,8410669,8700908,8527370,8476018,8770451,8356976,8125920,8058933,8107063,7994088,7913225,7905931,7762144,7608088,7429516,7254919,7070051,6548116,6156889,5949285,5918654,5682434,5633134,5376373,4748138,4592490,4413738,4462650,3910139,3591755,3586679
-4740302,-4326070,-4187050,-3386860,-2896019,-2171753,-1487606,-1028776,-780801,-343313,83505,180472,557225,1016083,1486606,1978714,2341509,2510972,2760168,2982732,3302845,3901003,4230553,4320876,4598308,4865069,5204111,5449531,5400496,5385227,5598636,5804733,6189551,6203890,6370349,6541761,6691147,6552872,6680917,6798292,6904997,6748236,6725389,6892045,6956068,6870509,7282208,7552057,7873269,7768931,7518762,7750636,7493804,7769176,7726494,7399478,7238142,7134981,6720633,6839747,6733042,6615667,6739526,6646239,6282666,5742904,5572177,5280458,5088390,4958299,4744890,4520811,4096965,3851545,3873030,3316624,2907022,2618920,2320148,2228903,1824266,1797467,1135108
-4423344,-3610462,-3247236,-2502558,-1993317,-1495147,-705836,-2620,398033,1064362,1507180,1938928,2057914,2467521,2822777,3210242,3586637,3951962,4147330,4490514,4822628,5143670,5285617,5584519,5797896,5722290,6344287,6598907,6842457,7089386,7618141,7828480,7907350,7868111,7723581,7769458,8127168,8433598,8566443,8688218,8798923,8595885,8871295,9010420,9117173,8822396,8560148,8593360,8615501,8626571,8908046,8896975,9253386,9220175,9215180,9149845,9083422,9389642,9301078,9201444,9090740,8968965,8836119,8351783,8196797,7637632,7460505,7340736,6761011,6550672,6329263,5975548,5731998,5477378,5211687,5243195,4955364,4457213,4147241,3826198,3276115,2695165,2259107
-4336738,-3494305,-2943724,-2747121,-2570755,-2054585,-1617659,-1124430,-815696,-302353,156465,405092,1047895,1249998,1254108,1655574,2440143,2818667,3532127,3887711,4593493,4945805,5266978,5576680,5783072,6124202,6723141,6986962,7239311,7247116,7409049,7788960,8401724,8596721,8780248,8964287,9167553,9316669,9223843,8958340,9077648,8957944,9049708,9020785,8835208,8976424,9309389,9622926,9645867,9526024,9804178,9862517,10244616,10173249,9990199,9860180,10067254,9986960,10169283,9922310,9807606,9757968,9672270,9906301,9696243,9141698,9002595,8716050,8443626,8529885,8444590,8203711,8074618,7810797,7217787,7317133,7018901,6709199,6132416,5415559,5071446,4403556,4036502
-4409198,-4165132,-3752750,-3194839,-2380184,-2243271,-1851718,-1341289,-842730,-338202,136616,988448,1092931,1532138,2249408,2716358,2863866,3022296,3735188,4392744,4748858,5329485,5661858,5738630,6047262,6344023,6723894,7270657,7531807,7781086,8018495,8244034,8472373,8674171,8674622,8852678,9018865,9173180,9070118,9426802,9712988,9907650,10148712,10396062,10345310,10404662,10373144,10408756,10189427,9999971,10413873,10011375,9932048,9946023,9898541,9875934,9804711,9721618,9850550,9743716,9625012,9494437,9146505,9202375,8966390,8578865,8388938,7763866,7550198,7112339,7079516,6687717,6426568,5874529,5589638,5127498,4818867,4779790,4798705,4454462,4098348,3902332,3522477
