1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-483828,-423909,-357880,-361429,-288508,-282638,-276989,-261949,-310230,-275167,-260612,-246219,-260343,-178820,-164912,-151166,-137581,-147323,-198363,-127996,-193724,-165705,-96651,-43567,-78104,-30574,-18606,72818,84462,121200,140817,90525,74864,80958,144148,212109,153676,93004,70499,80364,166706,142292,151672,141061,200618,209513,223260,217196,225605,268553,308777,275246,328868,303283,310723,318000,325116,349202,288895,295526,312751,349446,416525,421143,426965,437235,391498,422461,504937,509950,485426,542372,519771,505945,449786,438558,465854,511156,514714,518110,495563,488984,484646
-489228,-472510,-486703,-470376,-442458,-504103,-404057,-388352,-372817,-407614,-392416,-377387,-362527,-350923,-367906,-306080,-374394,-440951,-427104,-413426,-354309,-300031,-258603,-178828,-248661,-233983,-221487,-174889,-243225,-270843,-275560,-272436,-260953,-286820,-275675,-326806,-315998,-329240,-335509,-391475,-346181,-336218,-282081,-228561,-142420,-133133,-46962,-38012,-29231,-20619,-71620,-63345,-74014,-66078,-58310,-50711,-109775,-111751,-61781,-103317,-33183,28088,-38246,-52279,-46200,-14974,69329,74902,80305,85540,140297,145194,159892,164451,245419,227815,222824,246077,322308,351804,355182,366769,369808
-545733,-578971,-576878,-593816,-547927,-531206,-514661,-558562,-542369,-486213,-492399,-511076,-542454,-470895,-370042,-331646,-289562,-186980,-106099,-91843,-77762,-83581,-136829,-148664,-85264,-72063,-59039,37675,50348,62845,-9039,3105,59668,140280,113654,166836,178100,119379,110337,43806,96908,50829,61038,49352,30415,-27726,-16609,-7281,1872,52880,97481,164875,89919,179614,109180,76473,84217,24982,32374,83587,83021,39157,45845,110839,143383,214853,169283,175091,180723,212446,137125,148641,154067,158819,210578,214978,244850,290396,311519,401062,317930,321274,324442
-504199,-486067,-556558,-538792,-521210,-512784,-495568,-509549,-534902,-549620,-560736,-515046,-500731,-406676,-468925,-399872,-446523,-366377,-353112,-338277,-323625,-309156,-332947,-318844,-299312,-294121,-353038,-406523,-356449,-343446,-330625,-375431,-362977,-442280,-437674,-381987,-320221,-264785,-253430,-296941,-265709,-254903,-249043,-307666,-225906,-205774,-195884,-238491,-162411,-153070,-208714,-199740,-262208,-261195,-252770,-156338,-57819,-49943,-42251,-70534,-140170,-122259,-140905,-134129,-214839,-171164,-243038,-236994,-208011,-234836,-266973,-261661,-324599,-346359,-322044,-317465,-290308,-212489,-208460,-133400,-196944,-193465,-278085
-480971,-514771,-496122,-408734,-390465,-379015,-354353,-336655,-248720,-231403,-189912,-172976,-61757,-117350,-96911,-80736,-99492,-1682,13922,134,-53115,-9761,5082,101308,182194,259157,322150,336042,378498,392009,445982,459112,472052,456013,468572,480941,493120,505109,533310,588029,543474,480100,491137,521132,531789,604838,528760,490658,500553,473548,391729,324032,408540,382829,469049,477612,485985,527972,535964,543766,464158,442273,449504,456545,494672,501333,507803,429976,494716,500615,461245,553989,559318,564456,583861,542941,547508,464212,427177,352411,356217,359833,359593
-511363,-549166,-529818,-510666,-423260,-460141,-356109,-424418,-397938,-403570,-306304,-235622,-218248,-201071,-140412,-189661,-253168,-318220,-302030,-338284,-272964,-257367,-204329,-205992,-251968,-325427,-265799,-251386,-187873,-146751,-132930,-29723,41234,-12492,78377,91210,103846,94552,203767,224054,191523,202743,214194,225448,304797,315656,326317,300238,310505,257414,322670,332344,303161,312441,239300,321374,247949,200857,172652,171849,161493,121498,129001,51346,58453,214,6927,2214,102549,82028,76001,81726,143035,148366,106444,112004,116742,23121,77259,81405,109552,174095,96295
-442417,-422164,-496395,-542887,-509919,-395966,-382644,-363619,-287747,-201108,-158526,-217987,-199984,-182186,-241758,-216863,-102172,-85191,-68416,-130254,-183623,-224722,-253785,-238033,-222485,-207141,-253116,-166136,-151406,-206060,-249486,-235370,-226439,-223137,-247847,-313348,-300254,-348323,-335639,-323160,-310885,-198793,-210684,-224935,-166824,-155572,-144525,-133682,-153232,-237997,-152448,-201114,-191294,-181679,-248601,-183770,-221649,-182932,-174339,-261901,-284996,-255042,-335350,-254146,-246781,-296376,-319801,-313050,-338354,-432903,-460364,-458872,-483926,-569710,-559378,-632972,-628063,-623357,-714748,-716551,-673644,-764542,-817173
-478828,-519620,-498871,-503309,-429244,-409130,-389229,-369539,-251188,-295362,-209974,-250504,-209338,-190918,-172710,-154714,-136929,-119357,-184261,-167112,-150174,-55043,-38529,-22226,-94834,-48078,-32411,-2097,13147,28179,-38336,-58170,-43773,34719,48693,82490,19327,3405,16532,16712,-4065,-11716,104075,116143,105172,108071,119504,231407,239799,250597,225497,235871,302863,363792,293698,303225,291299,353912,392320,407887,451967,460224,423254,431088,488939,450852,464377,471363,431728,438291,444643,450783,456711,418435,422974,366595,427381,408110,412767,358686,372943,376966,380777
-480043,-458375,-412566,-428730,-329511,-392693,-304276,-319982,-231203,-123781,-76014,-56535,41286,60327,40465,59069,80931,57122,24165,60814,104319,65029,42163,23197,39830,56245,72441,88418,104177,224799,341742,267164,359242,323949,445727,461536,582285,677413,798370,896288,910422,857017,835478,787210,848690,831379,864728,860731,872112,883274,894217,904941,850221,924524,946724,1053644,1063275,978910,993958,1002931,1011686,1077794,1086111,1061126,1069006,1076666,1084107,990833,961882,918965,990797,997144,1094032,1099941,1105632,1111103,1116356,1107918,1070236,971599,933447,860261,861374
-477399,-482310,-429887,-425161,-403464,-476672,-456988,-435970,-408858,-339678,-319337,-299222,-350157,-363395,-415882,-425935,-406950,-344455,-325922,-225886,-149968,-125130,-53160,-55743,-24798,76133,197701,214199,261122,277168,293157,400375,415744,430886,445803,460493,417412,451335,556749,482176,405895,337743,354327,353849,366505,472603,484808,603781,615533,727441,756109,705814,716662,686287,681602,691772,701716,799842,709558,718825,649043,662020,670609,676940,685076,692987,728962,763436,666763,673769,618668,574184,569882,578012,537686,455612,461036,466235,358301,363047,389673,467329,410326
