1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-4721679,-4374230,-4116308,-3839464,-3531658,-3252415,-3010685,-2713095,-2436052,-2175084,-1926868,-1684858,-1450767,-1252491,-985452,-801024,-627277,-422499,-240189,-11582,147338,346778,520529,676997,838337,993472,1103211,1217834,1354353,1484666,1608774,1724245,1835942,1910177,2048741,2174596,2261472,2353340,2427805,2517457,2579511,2639946,2723574,2753246,2767274,2798301,2850965,2869581,2889076,2895282,2922708,2920221,2915024,2886565,2820465,2764443,2765215,2681548,2634919,2579071,2488614,2420355,2351490,2270820,2183944,2126200,2051914,1988542,1848513,1748746,1639991,1509677,1373159,1214342,1065413,881545,686875,526413,352662,172706,-4900,-204299,-378080
-4771196,-4524469,-4281520,-4006767,-3784498,-3548035,-3304892,-3078938,-2858239,-2676720,-2455893,-2250958,-2054356,-1851390,-1662220,-1492244,-1313583,-1140176,-990962,-828065,-693518,-541130,-393998,-258339,-87296,59142,165182,266135,381739,455057,580392,680232,764042,853372,937448,1010103,1074191,1139614,1202671,1265046,1328908,1373575,1426569,1448707,1472830,1510527,1560205,1575969,1594328,1629441,1610788,1582329,1571819,1550141,1536855,1522719,1491191,1476178,1434140,1393048,1340501,1302520,1239463,1147396,1058910,1015548,906646,817316,722730,622890,517795,420628,305024,164222,19991,-111235,-217506,-363358,-509613,-662001,-801955,-964852,-1131793
-4745164,-4495425,-4278958,-4005342,-3777840,-3548487,-3324232,-3126374,-2904654,-2695688,-2476432,-2277660,-2083985,-1882540,-1727801,-1557398,-1384109,-1215918,-1052823,-882705,-734602,-584682,-448527,-310915,-153159,-25741,96581,213805,307367,435423,504688,619778,711519,786094,867641,969676,1044902,1141038,1202198,1230522,1314926,1360797,1401570,1464608,1490339,1485745,1508394,1551291,1534903,1530669,1555186,1550090,1573744,1561326,1555281,1544884,1514304,1478626,1437853,1381691,1330723,1282729,1212352,1117910,1028739,930321,862732,776087,684346,563445,461511,349816,229852,137361,24922,-81114,-211179,-348791,-518646,-651564,-788585,-946583,-1097439
-4736648,-4466073,-4250521,-4002723,-3776527,-3510999,-3295057,-3068348,-2834320,-2591813,-2398912,-2223680,-2040560,-1825785,-1668606,-1484075,-1281973,-1096517,-890894,-727453,-573559,-410052,-268347,-148938,-11858,119950,234315,355578,465772,598407,703853,804027,893093,982723,1067079,1146164,1239311,1339450,1402718,1440470,1455966,1472923,1512894,1549800,1552069,1602566,1588801,1603461,1640262,1617282,1617282,1612010,1601466,1595714,1559078,1524948,1503720,1466814,1394843,1343035,1258072,1165558,1102291,1033751,988558,882858,798501,690628,599910,504986,420943,297481,164654,64267,-79591,-232036,-350662,-493014,-661885,-814781,-948583,-1112024,-1311700
-4695294,-4400276,-4128005,-3835612,-3574686,-3344001,-3066802,-2822893,-2584656,-2329679,-2062494,-1861265,-1645717,-1421001,-1200666,-1002135,-822104,-634918,-454090,-278248,-108079,27868,177102,302443,412852,554659,663813,760819,854579,973697,1087143,1164131,1278929,1377162,1484974,1542598,1644202,1717942,1786009,1850363,1892143,1948176,2018892,2058598,2092632,2120993,2145500,2173011,2162766,2168438,2168438,2125685,2114340,2102334,2046574,2018212,2021183,1989985,1944607,1893556,1836833,1774270,1720082,1646342,1566930,1481845,1352533,1296248,1228441,1120667,1023540,904422,779631,649168,513033,371225,252368,139338,2533,-151871,-356924,-557902,-752140
-4737278,-4519865,-4273482,-4063991,-3827874,-3596889,-3371037,-3119266,-2896622,-2686170,-2491506,-2261604,-2066551,-1876630,-1691842,-1521287,-1346765,-1177377,-1043482,-913931,-772888,-624031,-480308,-368674,-235217,-106892,45390,153048,261995,337481,428205,525732,618126,695818,813313,863754,961593,1047531,1129438,1185901,1244419,1313773,1362592,1398523,1429321,1473701,1465233,1472522,1482788,1487921,1470044,1464911,1454645,1439246,1418714,1384898,1360010,1340401,1286836,1232593,1186755,1144725,1083129,1016400,944539,876002,777543,700754,604586,499815,397155,289362,203677,102147,-44895,-143612,-279925,-418516,-542970,-709614,-851457,-1010579,-1172959
-4763861,-4524534,-4267596,-4048584,-3841686,-3600723,-3388206,-3187833,-2967873,-2776819,-2586794,-2426046,-2244508,-2048289,-1855911,-1692816,-1545152,-1391377,-1214481,-1070026,-953716,-818580,-701462,-593824,-474649,-350817,-226745,-150385,-32632,44848,138045,247482,300826,379122,425420,495317,560555,621133,664830,740687,787286,803523,831529,836788,835851,856914,875553,884998,898481,903141,928296,937569,928250,935626,900361,908068,907952,906598,869319,801744,741414,690155,636396,575818,510580,440683,348781,282565,198688,142254,49057,-48800,-163350,-240109,-362806,-479302,-633682,-750769,-881245,-1016381,-1138931,-1306845,-1455960
-4761500,-4513567,-4298201,-4060388,-3798826,-3583654,-3361021,-3141236,-2928722,-2721269,-2518875,-2321541,-2147880,-1960666,-1751307,-1571541,-1384074,-1231470,-1069555,-923877,-769094,-658044,-516369,-379753,-248197,-133825,-20572,60350,171666,277923,394448,454485,572412,658429,731812,807709,864391,957201,1017919,1069916,1086198,1138546,1179024,1214443,1236827,1260054,1267736,1253115,1284652,1317468,1347322,1355469,1352106,1336927,1312643,1298845,1268486,1222852,1177280,1131741,1080364,1024706,931864,890049,854346,789147,708190,622172,558189,462008,360811,254554,127947,23495,-123788,-250284,-384198,-549477,-693044,-846207,-984875,-1169862,-1331777
-4700085,-4432552,-4197694,-3973498,-3684707,-3439014,-3205839,-2971066,-2741752,-2491565,-2273171,-2060237,-1872453,-1682092,-1447614,-1285865,-1100230,-920055,-745340,-608343,-444547,-286212,-144330,26523,201143,336023,437666,537836,657952,742930,887739,1003269,1103094,1180509,1303008,1384906,1427177,1498912,1529263,1581274,1635872,1676121,1741461,1779680,1812439,1859155,1903061,1919663,1930583,1962811,1988333,1982873,1933928,1888484,1876938,1839267,1806508,1807087,1789301,1740163,1713632,1632262,1580779,1513692,1415849,1361786,1237032,1112922,1014645,930484,856166,741509,658312,512604,407346,293574,151618,38406,-114470,-244269,-432774,-563631,-721432
-4715256,-4403743,-4151993,-3867133,-3579707,-3308669,-3092458,-2847578,-2589517,-2327446,-2125934,-1903834,-1688190,-1443420,-1231843,-1031687,-847697,-680793,-535675,-364683,-193837,-28686,161511,344245,492312,670044,835207,966189,1091477,1211069,1290405,1398607,1501115,1597928,1691217,1778740,1858468,1932502,2005328,2063260,2120209,2140362,2185921,2225785,2266136,2294610,2286025,2290060,2264133,2299977,2332899,2296928,2264326,2212690,2221285,2174396,2108656,2063061,2051120,1999866,1982382,1919691,1834411,1763109,1722192,1670194,1612903,1537752,1442085,1333882,1222298,1091269,969192,838210,741313,600072,452005,328537,169080,3929,-149115,-325656,-507892
-4712091,-4435552,-4142999,-3856540,-3573407,-3333492,-3093875,-2828476,-2572491,-2322601,-2078806,-1841106,-1643311,-1418807,-1162631,-949310,-742084,-572330,-377294,-216525,-33679,117912,288569,496373,654840,795777,908369,1048551,1154353,1269753,1364891,1480323,1590031,1682323,1779841,1867343,1930241,2009475,2107330,2171258,2242344,2322683,2371442,2414106,2472001,2502475,2526855,2508402,2542195,2548289,2584391,2548797,2525405,2501081,2517595,2530382,2515782,2460240,2395255,2340401,2279452,2204879,2115999,2036765,1935512,1880792,1772352,1671572,1525094,1407957,1286060,1188921,1054834,873978,743412,559541,391037,194299,46294,-171847,-369779,-535483,-721123
-4700467,-4382218,-4071941,-3741098,-3454094,-3160983,-2875209,-2635651,-2392703,-2111307,-1811462,-1518505,-1271699,-1002562,-735774,-508454,-321510,-107179,115527,316868,511714,673602,826765,960081,1100686,1263058,1418935,1539928,1682815,1783044,1949585,2113281,2259881,2329994,2463311,2529828,2617717,2702150,2780089,2851532,2916481,2946077,3042894,3133115,3168783,3240179,3224541,3244025,3301133,3275060,3297286,3272755,3261097,3282718,3259170,3226696,3195041,3110529,3083509,3029950,2940738,2845527,2767588,2679511,2603320,2471463,2367545,2241514,2146935,1987465,1887321,1788645,1645757,1520141,1401320,1217648,1037230,844082,683378,495026,325301,120979,-42465
-4583828,-4227462,-3821101,-3429900,-3047021,-2704214,-2278853,-1920945,-1513716,-1152434,-810870,-486255,-117122,151284,488613,779934,1068820,1285149,1553272,1802121,2048068,2263806,2465932,2745090,2961499,3155995,3321652,3513091,3652868,3835991,4002459,4160605,4356904,4538170,4725985,4878307,4994835,5057142,5099728,5133443,5203302,5278213,5344800,5403064,5453005,5494622,5520952,5529270,5503699,5512022,5512022,5448730,5432898,5407928,5360744,5336458,5316344,5258080,5181581,5146198,5063023,4971465,4921840,4813636,4753889,4674372,4520468,4399294,4193495,3998393,3873453,3681769,3525811,3350010,3150247,2972204,2755795,2558818,2377193,2137336,1846185,1588159,1299517
-4547894,-3994663,-3535384,-3053239,-2573117,-2045784,-1648910,-1200101,-768992,-341058,64492,471552,805005,1129551,1562535,2000849,2355722,2700157,3034154,3357715,3670837,3927287,4153502,4432284,4727238,5053241,5303739,5526456,5804166,6023352,6232101,6459906,6647779,6825216,6956450,7113011,7226465,7362152,7419350,7534162,7706019,7792507,7876007,7920829,7983153,8053665,8089454,8083185,8099826,8060597,8007880,7997443,7976568,7945256,7930583,7918886,7917089,7844027,7691308,7597371,7492997,7411178,7337032,7201346,7100238,6943676,6823951,6646515,6458641,6274022,6027824,5768231,5469887,5217692,4945404,4684469,4461424,4117349,3825101,3477683,3201104,2920182,2587005
-4537132,-4078383,-3617976,-3142057,-2678065,-2317240,-1905303,-1505994,-1126724,-742873,-385895,-31540,280815,694019,1021717,1349394,1697732,2069638,2317941,2608170,2837867,3094896,3357038,3609817,3871666,4064554,4275333,4514381,4671888,4905879,5031131,5142148,5322429,5471162,5566732,5707165,5838236,5983794,6138924,6205370,6298993,6394103,6427362,6558737,6563033,6602796,6640245,6707087,6725811,6735173,6703849,6694487,6663628,6699106,6661657,6557609,6503728,6438193,6379272,6295012,6188836,6085852,5967840,5821185,5664632,5529398,5378883,5183269,5014749,4847892,4624961,4468450,4262481,4097058,3839030,3604975,3321497,3039354,2763778,2443821,2130443,1850331,1550740
-4463524,-3874414,-3291151,-2786864,-2293306,-1800452,-1293563,-902973,-449883,-5976,423205,785305,1147730,1544722,1930985,2353748,2660801,3014875,3393767,3726382,4048267,4302169,4588844,4856972,5166508,5496969,5769338,6016117,6295191,6513315,6727905,6931766,7124897,7291256,7532069,7693012,7837058,7976203,8104957,8192102,8299397,8395963,8488799,8563906,8628283,8681930,8758018,8748553,8755288,8757041,8684977,8700292,8678833,8617550,8626807,8607558,8579183,8472287,8440764,8369597,8242142,8101059,7959692,7848414,7643282,7450689,7279017,7114941,6921809,6737383,6522793,6273992,6022870,5806122,5548613,5278615,4999648,4697398,4377985,4066829,3671899,3339284,2995939
-4403752,-3819430,-3247032,-2626595,-2078047,-1552900,-1103100,-560254,-33338,477217,987284,1423201,1819652,2195067,2624365,3087818,3493266,3930165,4311764,4649457,5056449,5454156,5788055,6110029,6374276,6692356,6978555,7294591,7556940,7783059,7976940,8222810,8435793,8638517,8829316,9008191,9236770,9432713,9636256,9814579,9933828,10041153,10136553,10249196,10246215,10305840,10318293,10354068,10450096,10452270,10520769,10577959,10487178,10417917,10370217,10250106,10190973,10179318,10083918,9971092,9801541,9611437,9509875,9346120,9259260,9114030,8862984,8586635,8320937,8094363,7904483,7676128,7413779,7139505,6851469,6553345,6178452,5856478,5494495,5198245,4840496,4487856,4152902
-4326204,-3625288,-2898000,-2322270,-1663911,-1081380,-432427,146058,803112,1296370,1850276,2390334,2978323,3490685,3989201,4473868,4944688,5419644,5862768,6378179,6888933,7290514,7770242,8066099,8331465,8683279,9015623,9399028,9648081,9938882,10215835,10475054,10724311,10917811,11139373,11389837,11633475,11813494,11979666,12131990,12180591,12305220,12416001,12512934,12596020,12665258,12782320,12748640,12762537,12776808,12776808,12814283,12786588,12725213,12669823,12530827,12485326,12313892,12255143,12112695,12040391,11858300,11749105,11509830,11383137,11175422,10966727,10654254,10404997,10141892,9864939,9574138,9348871,9020942,8688599,8332433,8065956,7613281,7244741,6907244,6491815,6062538,5619413
-4248792,-3458297,-2774410,-2063614,-1470142,-907763,-328323,193404,804226,1355732,1925638,2509349,3012461,3633372,4189941,4688609,5173029,5659422,6037510,6479187,6974868,7317687,7716621,8184855,8555294,8911485,9204519,9564262,9960425,10283599,10584922,10786226,11042683,11353973,11640806,11854520,12124293,12266667,12493899,12552535,12671986,12886339,13000321,13146724,13207171,13221584,13278575,13251442,13304698,13394404,13492027,13463974,13435479,13395095,13338105,13328876,13243390,13200090,13086109,12861256,12664336,12479932,12310721,12125501,11926034,11712320,11484357,11307574,11051116,10703788,10418835,10119635,9887090,9559394,9217450,8888076,8517638,8154405,7823756,7410574,7040312,6519257,6063332
-4233887,-3516153,-2813066,-2181036,-1507244,-836743,-118832,454121,1101605,1702158,2317314,2888572,3531378,4147487,4674802,5086960,5584980,6068353,6464425,6918502,7357931,7782713,8192847,8509471,8992386,9404044,9777757,10116189,10438437,10832946,11188885,11467190,11834554,12083564,12334694,12554408,12751622,12942042,13117814,13304105,13450581,13674176,13882111,14018273,14106159,14179398,14263427,14356985,14322104,14336751,14336751,14322104,14287811,14288502,14229911,14227581,14139695,14086870,14038299,13959060,13882042,13775598,13542239,13438068,13195030,12876117,12663070,12377586,12113928,11853811,11574226,11266626,10880206,10506079,10154535,9747929,9354010,8979357,8628263,8147282,7698307,7301677,6847397
-4275861,-3628150,-3020829,-2340138,-1769276,-1038982,-468491,141265,723816,1317610,1844291,2497809,3048155,3668228,4189608,4764682,5337026,5814958,6278407,6830355,7278285,7663707,8004838,8394966,8763275,9125344,9472960,9806064,10073179,10282508,10474528,10749701,11010391,11226283,11543791,11819099,12021857,12139408,12305351,12464661,12520402,12665795,12870619,12978875,13161138,13327687,13373947,13406821,13435786,13349889,13371200,13356717,13262499,13219050,13262040,13195736,13108839,13043194,13029517,12975636,12830808,12720701,12526335,12410104,12207345,12066659,11792444,11546236,11285546,11010374,10738867,10434152,10038156,9677085,9334714,9043693,8708874,8236096,7793643,7350527,6942003,6469829,6006380
-4327038,-3648825,-3030971,-2354113,-1691656,-951549,-266485,397889,1053148,1596252,2172302,2633983,3149877,3682723,4185421,4689464,5230197,5749587,6161656,6563459,6924343,7285831,7757101,8181062,8490296,8932588,9278217,9668653,10060858,10292677,10580702,10854325,11193211,11361474,11682672,11898690,12100308,12241516,12414331,12667305,12811318,12902138,13022035,13167110,13253517,13325524,13356241,13399444,13428247,13418801,13455940,13446014,13395546,13290423,13232818,13160812,13058037,12957228,12842019,12712407,12580059,12447496,12311667,12129513,11927896,11683385,11452966,11109055,10884038,10629978,10390005,10087579,9770752,9431592,9131434,8777051,8386859,7998025,7594791,7134390,6702353,6168711,5631677
-4285978,-3586236,-2989726,-2318545,-1614902,-972281,-283189,379759,972259,1635662,2259083,2897551,3440208,4013674,4527770,5027586,5500305,5894122,6351096,6793790,7323245,7779669,8248458,8634031,9053109,9410120,9752851,10063735,10377904,10677794,11034249,11214148,11471196,11692711,11858587,12098393,12337492,12537516,12742086,12899171,13048780,13239180,13274085,13374048,13513332,13584735,13651818,13714025,13753357,13785425,13712513,13698233,13758274,13758110,13665296,13502450,13465373,13365410,13316957,13188433,13045628,12888543,12764377,12550422,12350496,12062634,11834147,11502348,11244443,10955206,10687083,10387193,10153674,9825224,9482493,9125482,8821238,8401235,8048485,7646835,7224845,6812641,6365158
-4203142,-3595972,-2996613,-2327407,-1672440,-1105711,-426627,230670,828684,1412459,2042532,2599779,3148856,3612079,4124662,4623007,5107114,5603785,6059415,6500806,7020041,7432955,7841455,8146152,8572947,9004124,9407874,9735358,10078440,10327285,10597154,10787980,10980936,11248528,11533346,11704801,11815591,12002251,12173112,12329735,12407115,12535261,12686506,12766700,12820174,12951339,13032239,13074954,13176092,13190330,13190330,13176092,13147615,13140419,13083465,12938481,12753806,12689832,12578034,12444089,12200396,12043773,11877509,11646415,11475694,11262118,11034303,10875474,10619183,10274552,9927952,9580638,9246856,8861465,8519743,8258057,7918937,7624089,7323899,6842979,6337265,5948336,5492706
