1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-472752,-454326,-441540,-423486,-389724,-372042,-346314,-344454,-358550,-341613,-290064,-269297,-250102,-242887,-238739,-210803,-159745,-132631,-118105,-103029,-114726,-131129,-121106,-84441,-70296,-41629,-39550,-25963,-36460,-10160,29403,54918,37417,52865,65150,65136,77048,88774,116764,128118,103821,114803,125598,123932,150251,160488,187187,184203,174949,212726,222033,231153,240087,248835,257397,291526,299716,296981,324307,331938,345023,364228,371301,350691,357392,379185,385513,405179,411135,428734,434318,464801,468542,473372,456427,434611,439078,443359,447454,451362,455085,463603,445953
-458092,-459999,-441339,-422869,-392933,-354603,-330333,-303806,-271901,-254574,-237437,-224386,-226704,-248007,-229596,-213411,-205829,-167462,-151848,-136425,-121192,-142960,-138936,-124275,-124922,-110641,-114390,-69431,-55721,-30342,-53309,-14212,-1264,2497,15064,56034,68221,114047,148975,179007,190432,171539,182583,193436,204099,214572,224854,249988,267117,291443,323253,336564,368028,376978,385737,394305,433541,451578,467902,453910,446737,458924,456998,480292,471381,488737,520344,511637,535402,555510,568721,611068,642684,647825,645511,650272,648108,652488,676291,680290,684098,687716,672590
-480530,-461255,-456374,-414690,-404977,-382061,-363759,-338945,-305818,-263536,-246013,-211662,-219324,-196430,-217950,-187180,-206930,-190770,-169577,-186563,-170987,-186475,-140835,-138217,-123420,-108818,-88964,-95616,-94509,-52835,-39206,3960,17200,37680,50530,63186,75684,87950,87569,61186,36676,61380,52922,40990,81389,92098,80683,109894,120019,127974,117199,114545,136900,155759,134208,139433,148000,126865,130201,135102,142889,135320,138031,180320,159804,187311,193930,200355,212871,218907,224748,256371,243622,248879,253941,256059,260732,290597,294881,298969,302863,306563,307556
-499575,-457362,-437862,-435155,-416053,-412935,-422942,-391506,-345563,-327455,-284077,-258034,-240523,-223212,-177853,-186998,-133149,-116634,-100317,-58049,-47984,-32264,-16743,13647,-10882,33820,56987,71513,74223,88351,64608,52225,65755,93507,106640,105463,118198,122511,157827,197916,209855,221595,216369,227711,231491,235896,246641,279034,300985,311133,337405,353931,363482,372834,380724,369249,382157,387510,395867,389828,382060,411285,436290,478438,483996,482643,466856,473422,519016,530869,530385,536155,581042,612633,617807,622782,651899,656476,689753,693932,697911,668508,643828
-515983,-495859,-460274,-440557,-421043,-394138,-389492,-374596,-355895,-307660,-263333,-272268,-229567,-211883,-192703,-149523,-132449,-151285,-134617,-89634,-97284,-94070,-88596,-41030,-26693,-32551,-17509,-2670,-6697,-15701,-1472,-13270,20469,34088,47503,60716,73725,86531,124217,136616,121898,133891,169525,181112,192495,234424,222314,269711,280281,290648,280806,262836,272593,255526,239090,238966,247910,256651,279729,260831,268962,272000,279724,289376,328621,340279,347191,353899,349274,344152,350250,360522,345934,351422,395123,400204,421509,405279,409751,414020,416059,439699,417878
-479245,-479210,-455863,-435730,-438492,-427013,-407166,-380479,-357648,-330219,-341741,-312971,-304200,-286143,-268293,-263925,-240967,-210645,-199176,-189784,-173180,-155156,-111326,-108756,-92982,-114994,-58238,-43087,12164,24377,48195,78531,69489,114502,128201,146997,160280,179593,209359,213478,201641,192905,230294,281997,293620,305036,316243,363537,374329,384915,377265,379333,389296,393041,402588,411928,380236,372568,346093,354602,343552,351646,359533,378604,386076,356316,370614,340441,306707,282710,325227,366355,389590,360487,364035,358409,380710,415963,420529,424888,401352,422917,443012
-478816,-457844,-419360,-398812,-401739,-398700,-378787,-359086,-339596,-361393,-343822,-339039,-355873,-337443,-339000,-358805,-351269,-310718,-293347,-252122,-219172,-209950,-202919,-144641,-153085,-126625,-79418,-94038,-78785,-83983,-35174,7859,-14492,-299,13683,68521,82079,95425,121150,160047,165411,184933,197219,219449,214519,226170,237609,248153,259169,282687,293280,303660,294665,304622,344633,314384,298448,307557,283308,321299,314310,359661,367710,375549,383175,414982,422184,416915,423694,426340,418353,424497,430428,414618,382950,351480,356564,361436,366097,346839,316054,320079,296992
-482794,-461398,-440217,-389615,-368867,-387901,-343155,-323055,-301588,-265410,-231968,-212733,-193713,-174910,-181125,-167496,-149341,-105990,-81538,-64032,-48531,-46366,-21842,28235,60299,87775,63929,43378,33185,42916,25619,40532,19436,33916,73817,87866,101698,83215,96614,143551,114986,129094,141630,190903,196538,183364,195035,206489,234412,249286,274270,311770,301742,317562,327504,364123,373632,375342,345111,355159,363804,372233,398265,439765,436411,406408,413756,385656,421739,428438,392769,425014,401322,407157,412776,418180,423367,437597,408996,372879,392783,396889,400780
-477959,-415743,-394143,-346803,-336020,-289253,-266954,-246456,-193458,-173338,-162770,-143153,-112297,-134185,-156719,-118290,-102590,-69725,-32768,-14914,-9024,8388,25580,35130,51881,68412,84723,100813,116682,132332,147760,167130,163573,135635,106187,96066,149085,130004,126985,155667,137456,166605,210717,236596,248939,261061,272963,299841,311303,307829,318849,317911,335058,389170,391800,390994,400693,410170,395685,445055,491128,501222,527334,535489,544807,553887,561381,541228,550313,562614,588923,614741,582647,565629,550027,529878,545662,551229,556078,560706,547992,570157,574125
-477530,-482966,-417066,-438287,-372237,-392048,-370927,-350030,-366039,-368898,-348675,-286350,-254396,-277729,-252930,-208315,-189440,-163343,-154937,-109181,-60568,-76740,-30813,21593,81713,98565,104985,109940,134946,150899,130089,151455,122805,137860,181313,240570,254951,268932,282863,326390,327361,340618,324900,355001,363306,375664,431260,443169,454853,458675,462091,510337,508224,551228,561564,551988,549893,559555,568993,563856,572843,593688,597371,594055,602144,588481,596121,604728,611918,618884,645442,631330,598486,633369,639211,635483,674285,682725,656922,692258,681293,708927,707450
-472977,-450308,-409519,-353352,-311701,-289948,-245691,-243397,-212102,-191264,-134067,-113688,-92259,-96332,-63174,-43710,-24476,-5470,5569,-15069,3250,-17443,16948,70536,129041,146215,187276,170873,210112,226370,246294,262094,277665,293007,318966,371923,393292,406657,425942,439910,429079,403765,437353,492472,548799,596314,588695,571181,595317,596209,607658,654606,683645,694408,683723,690753,700829,725691,750962,737034,746193,755124,763825,768314,776557,802268,810053,777243,784570,800917,820313,785943,792355,812900,781413,787138,792633,793677,833543,809204,813784,862233,870102
-473525,-480717,-423665,-401038,-365818,-336747,-277518,-291627,-275571,-293486,-272492,-252719,-242132,-185924,-155557,-135729,-135906,-116545,-84391,-75397,-79940,-107621,-89426,-71464,-64892,-47397,-67400,-4299,12496,29058,45387,31152,80823,96452,111848,127011,141940,138398,144316,158545,172541,186344,209885,223182,268064,280894,293491,326296,382829,394726,406389,417819,429016,393702,438292,448789,418094,412301,422098,431662,470343,479441,488194,496825,529679,574406,602341,610039,635042,610154,651122,657887,619901,626199,632264,638096,643694,606904,612036,637530,650987,646673,650872
-476245,-434018,-410738,-430635,-417487,-349089,-326759,-294855,-275144,-213323,-147865,-126723,-105818,-127249,-106819,-105276,-85321,-68394,-48915,-63816,-28848,16706,2433,42974,70671,88488,106067,123408,158201,175067,222633,219402,281104,321530,339799,370671,399600,414566,429294,399116,403603,441274,493186,506727,563244,547597,570267,582858,571803,583918,637408,623484,634887,611474,650151,660841,671294,681509,691486,730752,737069,746334,755361,764150,772702,757016,765093,772932,761137,754380,761507,768396,742295,748709,779219,785158,760242,750491,796800,801788,846476,805963,767494
-475816,-455125,-407777,-387437,-394230,-371255,-321422,-298930,-276681,-285968,-264203,-243974,-226331,-205291,-223506,-202950,-182635,-181972,-162142,-149641,-107044,-87938,-99105,-80483,-31630,-13492,-27273,-9618,-32251,-15080,-20735,-4048,55671,46460,93165,108885,124363,91708,106702,158847,208058,196692,210719,260723,257617,247814,297066,328914,323074,347401,387154,421957,467684,488154,539597,561663,566648,577047,587204,597119,606793,591544,600734,609682,589081,582417,585941,553993,590410,597907,603117,601318,596379,591371,582057,609608,615412,633366,646933,684573,721866,772950,787393
-475387,-443822,-419701,-418071,-394443,-386747,-324770,-301881,-305657,-243941,-221790,-172326,-150667,-134069,-141933,-121012,-100337,-52180,-71346,-51410,4450,46790,101579,120530,168712,142926,161139,175115,192836,181010,198239,236233,249017,217441,199025,215024,230776,243912,262760,235923,270816,285338,268531,245977,259760,273297,307037,320082,304467,359052,343885,399127,381733,392193,403514,457777,432258,455207,456407,481676,491521,455094,460429,514923,550690,559305,537390,519402,527278,534908,493646,541962,577392,584037,594777,600930,606837,612498,652761,645923,633882,631019,635449
-474959,-450168,-410760,-386470,-342226,-270398,-253137,-274730,-252128,-278853,-264186,-241899,-219863,-222009,-233304,-177040,-156006,-135221,-79328,-89214,-53711,-75282,-55749,13356,32387,69393,72048,94307,112337,126101,168853,186132,236448,251093,267620,333045,349071,329847,345372,360647,375672,358565,362645,350908,373949,387721,401244,399634,412656,467687,519494,580511,594077,605846,591735,596196,629153,639921,633010,682025,692041,701807,711323,719947,697502,677098,685612,708413,673082,655776,663288,701418,681854,669245,675756,723517,737493,724927,762778,768037,773045,798576,796935
-492550,-433903,-408943,-384237,-359786,-335590,-311649,-315248,-251684,-188521,-165598,-145848,-144360,-122202,-79943,-64836,-9880,-19129,49182,21273,41649,108766,118763,129626,133470,152573,171420,190013,208351,272847,340621,368946,358885,384889,432550,437455,403855,428661,444452,459989,489443,504470,510714,489097,503094,490677,504430,540308,573656,636465,604016,572367,584593,596563,637020,675171,699075,741385,797553,809980,834871,844805,854483,863907,873076,898644,907304,915709,927855,943351,979812,962893,953463,994196,1050774,1057293,1092335,1098193,1154569,1159917,1193707,1157920,1162504
-470482,-473508,-432341,-452923,-401230,-391819,-367474,-305219,-242366,-262458,-248257,-269081,-232576,-204127,-159592,-186030,-168479,-146983,-125746,-102583,-32561,-44110,-7710,12232,48843,110934,124872,143777,174227,192614,226205,271082,288693,306045,327002,374190,339525,343611,359668,375466,359105,357477,346105,370416,396206,388135,402120,408293,459052,472261,517404,553095,565526,562928,587990,601803,662528,718882,769897,790132,800491,793115,823954,862395,890696,899760,896504,878708,838425,805823,797262,852178,904632,948043,996351,981130,987345,1025127,989845,999966,1005146,1010067,1014728
