,1,2,3,4,5,6,7,8,9,10,11,12
64,1766860,4473659,7192299,8650331,9962464,10855748,11400094,12462360,12993902,13886635,13669514,13645248
65,2924704,4385334,6210540,7297641,8332715,9927942,11851361,12031153,13021867,12884613,13281214,13257017
66,2490100,4473765,6534874,8412953,10507526,12249802,12752090,13093873,13282808,13838670,13908488,13885268
67,3059310,5243733,6641597,7925776,8755913,9533555,10568856,11901073,13246747,13635716,13917386,13894285
68,2781100,5192883,6793041,7938049,9397467,10324922,10560712,11101862,11540257,11398404,11906633,11883578
69,1962157,4476197,6524467,8640056,9415927,11201033,11671956,13225465,14042124,13722329,13398629,13375865
70,1903793,3741882,5130684,6306393,7543783,8625653,9025782,9299401,10426998,11460059,11341481,11319140
71,2991866,5410883,6882465,8549103,10393915,11700805,13400069,13616356,14592572,15211754,15124384,15102389
72,1834217,3388099,4729291,5580066,7047435,7474060,8096168,8219392,8390040,8058698,7925860,7904801
73,2741649,4543878,6598578,8740741,9477780,10484319,12073609,12813611,13559251,13578927,13098468,13077675
74,1792069,3746650,5498986,7744693,8787970,9213493,9780994,10811804,11150574,11931995,12337420,12316941
75,2533069,4793996,6099158,7098270,8360605,9048750,10227922,10883509,11448832,12253777,12867334,12847849
76,2038900,3235713,5065726,6791285,8698502,10421310,11855701,12420899,13446084,13340770,13448272,13429024
77,1441532,3869001,5342793,6223684,7311377,8700470,9188228,10157840,10475623,10719927,11094831,11075849
78,2415752,4382890,6234901,7741715,8704557,9700477,9971717,10820218,11492849,12062274,12534659,12516023
79,2278115,3536882,4950098,5717872,6911201,8115600,9336392,10517173,10917367,11112688,10644005,10626236
80,1699881,3433344,4586459,5574978,6505116,7822500,8490344,9454783,9929478,9668516,9478959,9461657
81,1577143,2988293,4983150,6529797,8050042,8661884,9527615,10142560,10299339,10956341,11260541,11243772
82,1931646,3106908,4697096,5441481,6015595,6521627,7150797,7319510,7547650,7760561,8245925,8229642
83,1436072,2968446,4114046,5105748,5842108,6196585,6461490,6636557,6876371,6681503,6874679,6858465
