,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
1,146019,282364,405829,528189,648112,770975,887909,1011927,1135605,1243126,1359011,1462364,1562606,1673173,1765574,1872311,1964841,2052736,2146327,2225087,2302414,2389069,2468595,2553061,2620153,2683508,2758757,2829989,2897544,2964300,3020011,3067792,3112682,3155529,3198113,3250142,3293499,3339685,3369712,3411593,3451002,3486840,3513899,3536238,3549911,3569287,3589700,3597277,3612592,3629111,3626750,3628169,3633809,3640812,3632247,3630716,3629927,3611697,3591107,3566001,3551452,3532221,3515814,3486620,3454060,3412662,3372659,3343458,3305364,3269623,3226470,3182156,3139980,3089253,3038835,2980806,2916697,2851464,2787266,2716151,2640751,2557318,2482431
2,160670,319981,475839,631849,772497,913853,1055858,1193285,1336157,1462821,1602801,1724268,1849511,1974821,2087837,2211136,2312984,2429963,2543746,2642554,2750100,2842850,2942847,3031498,3126313,3218514,3292419,3363246,3429466,3507317,3581338,3644766,3701745,3763243,3813820,3861292,3907513,3956296,4000278,4031348,4074583,4115306,4152025,4176027,4194740,4224987,4254550,4264777,4277690,4278426,4275769,4276918,4286776,4275301,4263727,4252506,4234312,4226935,4201809,4192060,4174617,4142766,4114413,4091262,4055467,4016664,3965553,3918570,3880812,3832432,3787888,3727146,3670148,3605872,3530041,3459279,3382056,3302688,3235036,3162454,3081838,2988606,2904815
3,178885,345510,519211,683155,835580,1005788,1172020,1329457,1476410,1615570,1768883,1913989,2039018,2183777,2322700,2458499,2579445,2696532,2808256,2930326,3049269,3158894,3258771,3363662,3451186,3550924,3640974,3737249,3812599,3883550,3967309,4029814,4090632,4146660,4209319,4269514,4315760,4370214,4408780,4443183,4495838,4541433,4585450,4619613,4656967,4671476,4703959,4723027,4747498,4754375,4769457,4774011,4784803,4785309,4777821,4777520,4767030,4747910,4740751,4707412,4690198,4672252,4635156,4604993,4572343,4534892,4493246,4443929,4388999,4334300,4274495,4223044,4146955,4071070,4002506,3917754,3829164,3739152,3645883,3565623,3472481,3371680,3267214
4,223241,421887,616772,829644,1038537,1222480,1396601,1567618,1745566,1910323,2091220,2248398,2404818,2566966,2732853,2882339,3030326,3183397,3334312,3479206,3617425,3750377,3866857,3972644,4100122,4206198,4309893,4399466,4487089,4589521,4682143,4773508,4843896,4919710,4986892,5069003,5139816,5193000,5250156,5296445,5351713,5410455,5448163,5479587,5508839,5549345,5576442,5591817,5603318,5623468,5621884,5614438,5629878,5626567,5624345,5608669,5602942,5598333,5570469,5552883,5526954,5481222,5440736,5390289,5341054,5276982,5234929,5163562,5101194,5036820,4952908,4890381,4825356,4733934,4652706,4547706,4448348,4342929,4249207,4143214,4040709,3918344,3799673
5,242945,463424,694482,920435,1135199,1360321,1565412,1762777,1956204,2156433,2338971,2518593,2709101,2895437,3074902,3244167,3417606,3578035,3721766,3874169,4027351,4177968,4316578,4437441,4551460,4687673,4797211,4922523,5020113,5129151,5232369,5344554,5437295,5535795,5619337,5710622,5779840,5856409,5923859,5999162,6044572,6090335,6136721,6175149,6200387,6233388,6261205,6288970,6297551,6307218,6302771,6308048,6299963,6310995,6312144,6315975,6296681,6278570,6267895,6230811,6190932,6152009,6120403,6059894,6020860,5957330,5902119,5825042,5747979,5669037,5580670,5494899,5400599,5307904,5209925,5092787,4987437,4869597,4766556,4654606,4513890,4379563,4231764
6,286736,543020,795599,1055874,1305838,1567203,1817211,2062302,2282183,2513821,2749818,2987752,3211847,3425648,3622437,3813733,4005526,4200949,4369802,4542547,4706858,4878468,5055993,5225268,5388212,5539476,5697526,5844737,5966727,6085006,6204190,6329864,6446526,6563820,6652081,6755183,6839242,6932234,7024960,7112209,7187437,7261419,7315486,7380233,7426500,7458866,7503028,7536874,7542934,7578623,7592246,7613707,7599166,7598355,7584704,7568297,7560336,7552979,7524338,7506013,7466653,7420210,7372649,7323544,7255508,7181818,7102627,7041096,6952503,6859743,6774846,6668869,6577627,6464556,6332636,6200662,6086966,5945723,5793442,5646419,5486005,5319396,5175486
7,328537,634016,938027,1249002,1549354,1849235,2119917,2381160,2664956,2923174,3189041,3442363,3673624,3895118,4142074,4388967,4619953,4847226,5067948,5282402,5461320,5654913,5836528,6021196,6188856,6350374,6520622,6660321,6828174,6985932,7136224,7251286,7394872,7531955,7654142,7756531,7835386,7939016,8044996,8113710,8200222,8269213,8348311,8394208,8459129,8498428,8541126,8576708,8597041,8598535,8626439,8636539,8653882,8652639,8622756,8627711,8606885,8566685,8542317,8496684,8464194,8425659,8386684,8340702,8285961,8205435,8123735,8028633,7927540,7835201,7745624,7630103,7525643,7394534,7246239,7101587,6963762,6827105,6665488,6513839,6355264,6179272,5995946
8,347736,707148,1019665,1328418,1640588,1946242,2261288,2579812,2856640,3134662,3398097,3691249,3947383,4193285,4439299,4691974,4922615,5162047,5402345,5621413,5824136,6026931,6207286,6381337,6550361,6732995,6892010,7040670,7201201,7345499,7492880,7619854,7766677,7918846,8039781,8132679,8240868,8362325,8436321,8535686,8630384,8686269,8772085,8855839,8907012,8956693,8993385,9026304,9034653,9040230,9044268,9048770,9053213,9064118,9069290,9075033,9052760,9013902,8995387,8958762,8899342,8841431,8795522,8737761,8654075,8566443,8489549,8412137,8305736,8209317,8096707,7981267,7862705,7714509,7587872,7442283,7306568,7122558,6963464,6796411,6599705,6422733,6250480
9,371589,709238,1038557,1392220,1732796,2035179,2333611,2642778,2943983,3226226,3532318,3811052,4068719,4348998,4601715,4869646,5112435,5352427,5578863,5783850,6001018,6209561,6417619,6624398,6827883,7017820,7186326,7362284,7538726,7697600,7860127,8013650,8156409,8300865,8443300,8563806,8653623,8740684,8818268,8904011,9003881,9074401,9161780,9234863,9297604,9367962,9433872,9474941,9481762,9497451,9503377,9508175,9527184,9505170,9477289,9458470,9427179,9379273,9346495,9298549,9248354,9168396,9124854,9039759,8971895,8865454,8774554,8698441,8603625,8485512,8349271,8210254,8085051,7954426,7791201,7621168,7458004,7277049,7084238,6888970,6723883,6542063,6352012
10,375693,716080,1069947,1412355,1739764,2054732,2383372,2678655,2979546,3282094,3587997,3860817,4150713,4449228,4699020,4984492,5255256,5484869,5737504,5976226,6223225,6442936,6668521,6872728,7094866,7274667,7436994,7603953,7754911,7941550,8079946,8246049,8397969,8538486,8663487,8788235,8914835,9041612,9143280,9222668,9311231,9374933,9436072,9514635,9565295,9605317,9667189,9694189,9737983,9773193,9767703,9781589,9797630,9778634,9765804,9769725,9734824,9703001,9682974,9614545,9554837,9507141,9443203,9350500,9268662,9160500,9078965,8966058,8845195,8747646,8648405,8501975,8358947,8216481,8063823,7922311,7742140,7580623,7403826,7232841,7057334,6878825,6663455
11,397590,775248,1185837,1548863,1941104,2280613,2632669,2957268,3278603,3623379,3959085,4252680,4553965,4848742,5162712,5462016,5760525,6024146,6274236,6503921,6767568,7001294,7236801,7456270,7686488,7908801,8106575,8300824,8498806,8697761,8847067,9020364,9152172,9305170,9428992,9541451,9647078,9780784,9888910,9988074,10085294,10175884,10239442,10317929,10385707,10433098,10476683,10538862,10583474,10616564,10639838,10628668,10647927,10664389,10633830,10605920,10592981,10547702,10499110,10452881,10395087,10330997,10248475,10141487,10066611,9960484,9851668,9764290,9668838,9529377,9393748,9253107,9117127,8954084,8784070,8621600,8431611,8238501,8052684,7838765,7614055,7389443,7181139
12,417509,840502,1267719,1653878,2052047,2450011,2801219,3192774,3551103,3876671,4204935,4554396,4882756,5209863,5504199,5781974,6066540,6373789,6679507,6932046,7223808,7454932,7727025,7977586,8203720,8444077,8635299,8842900,9037289,9251265,9406908,9556733,9727020,9867144,10011567,10167449,10323244,10472337,10605817,10716389,10818188,10935953,11040737,11100669,11184883,11218688,11284521,11343188,11366165,11416419,11461131,11489448,11504404,11527889,11526815,11498147,11457665,11434877,11387582,11323682,11240449,11151854,11073455,10977407,10892937,10810132,10721723,10603879,10450675,10333144,10209185,10032171,9901235,9759006,9556918,9380514,9193584,8968950,8754010,8564956,8364874,8142724,7878233
13,476747,902297,1351833,1762526,2202447,2597336,3025935,3412871,3812404,4214430,4601000,4984389,5355830,5715537,6077493,6405088,6710675,7033294,7327784,7597617,7885372,8142902,8423008,8670470,8900252,9123223,9347872,9543178,9772557,10004870,10176772,10393480,10591694,10769669,10924573,11059965,11179248,11290189,11434625,11577693,11699004,11781163,11901004,11999635,12097884,12185649,12220558,12242185,12262093,12274393,12320818,12334672,12365529,12380914,12380853,12346055,12322923,12270145,12216109,12152864,12060572,12000014,11926002,11829165,11724476,11623632,11528347,11387650,11273979,11153767,11018334,10849345,10682217,10495157,10315473,10143834,9912585,9725578,9520400,9315260,9053876,8821171,8585575
14,504973,1009497,1503359,1965497,2415575,2871282,3291973,3709781,4095415,4496625,4907251,5272294,5620293,5992993,6321067,6690400,7012871,7332626,7680908,7963685,8298161,8582164,8849076,9152820,9388058,9659278,9934918,10180212,10436723,10640058,10818152,11009749,11231604,11413792,11562752,11731581,11897875,12020472,12160953,12319776,12429665,12556922,12626371,12738160,12841161,12921833,12992824,13018167,13086416,13105121,13149917,13184418,13178318,13158347,13145070,13142524,13118776,13046105,12980078,12926671,12857728,12798589,12710734,12584587,12492159,12362327,12206151,12043887,11897385,11737790,11576628,11408743,11194730,11008685,10832044,10617028,10391119,10166746,9935997,9666351,9419177,9163006,8908647
15,540864,1086543,1574889,2080597,2559982,3055316,3549624,4012830,4496524,4903933,5357891,5797098,6219105,6596237,7014477,7387484,7722480,8112304,8460652,8780407,9133241,9481815,9797289,10087581,10362176,10609848,10873212,11101236,11331858,11571238,11768391,11993215,12190089,12420921,12642326,12826767,12995131,13163553,13293232,13409485,13523681,13615025,13720856,13811081,13908522,13983794,14028745,14052562,14125839,14157996,14174890,14192353,14168518,14129370,14097080,14096912,14053159,14024259,13934640,13845391,13779591,13683733,13562999,13482395,13391416,13260947,13127506,12956908,12789555,12647533,12444392,12283301,12109204,11904454,11715724,11473138,11259209,10998384,10745541,10453072,10181154,9859680,9578537
16,520184,1068027,1622080,2156879,2698796,3194732,3675478,4121693,4606039,5044283,5482403,5882126,6271018,6686604,7105583,7479248,7828524,8206728,8556847,8910051,9255331,9565479,9863146,10179894,10446526,10711447,10988541,11235481,11495729,11772016,12025644,12224529,12474400,12708102,12866426,13070319,13250188,13395295,13555210,13697184,13793118,13937266,14038805,14135165,14201310,14256644,14325727,14389388,14465947,14483263,14521704,14524930,14515433,14523849,14509332,14494249,14445485,14418768,14373384,14318116,14214720,14099940,13991696,13858280,13718926,13562305,13437719,13278147,13149451,12965114,12769534,12553208,12365955,12184122,11941089,11718995,11481982,11197364,10922124,10652881,10330067,10042922,9711836
17,587954,1113820,1700408,2224361,2740743,3246161,3723578,4193654,4690472,5159708,5605111,6090947,6527816,6949493,7356341,7774934,8158152,8553499,8901891,9250554,9624067,10003359,10312936,10635336,10917793,11239712,11513526,11794489,12025786,12315374,12531601,12732190,12954942,13133486,13317323,13528287,13672945,13861853,13990016,14129708,14249571,14401139,14515535,14583892,14700809,14773942,14824993,14868721,14935450,14948116,14983608,14988450,15019701,15028655,15016918,15024904,15006006,14989749,14931783,14868461,14792564,14662476,14567030,14471104,14360253,14254026,14143130,13981009,13799833,13624317,13467036,13234499,13004220,12758406,12539654,12322553,12060000,11798065,11504267,11194121,10857419,10552028,10214856
18,617735,1163187,1750929,2305449,2881527,3427747,3950836,4466176,4965950,5463487,5926609,6379069,6825273,7275991,7730088,8152209,8524709,8955604,9312773,9710243,10079666,10455164,10829560,11149963,11455958,11751078,12040755,12286359,12589872,12813176,13076733,13289283,13532629,13755504,13981234,14206214,14378507,14574392,14736243,14858701,14972309,15127431,15278904,15361016,15422396,15478185,15546213,15621046,15634711,15665487,15695535,15721559,15720858,15697976,15714378,15707208,15633113,15574998,15542738,15492992,15385958,15285255,15178067,15083156,14945748,14776743,14624356,14454636,14270594,14049766,13866721,13647084,13433932,13243252,12979247,12745324,12520489,12243616,11997002,11728904,11422853,11119930,10775785
19,581988,1191835,1791972,2401894,2976418,3564297,4080775,4583639,5089480,5588797,6130506,6615282,7105126,7603348,8018811,8493927,8966028,9425776,9856257,10294388,10664993,11026940,11366270,11716378,12029382,12369771,12645218,12929848,13207757,13490366,13797150,14064568,14348027,14586604,14802673,15051485,15235762,15422151,15629494,15754257,15867952,15982058,16111662,16228548,16313298,16382875,16418780,16510037,16554065,16578322,16595082,16626122,16663064,16677407,16633352,16635950,16625839,16611950,16548018,16492206,16436330,16340017,16225936,16126403,16028060,15850877,15707472,15549123,15379129,15163271,14983007,14745159,14497298,14283899,14020240,13720301,13433409,13118956,12822514,12466708,12149008,11847229,11503144
20,597658,1191969,1797109,2373914,2975300,3565075,4093809,4667334,5236352,5760185,6234986,6755996,7244776,7754885,8206690,8615050,9063190,9489257,9860048,10233328,10629594,10965322,11327900,11690486,12009469,12303753,12603551,12941608,13255275,13545633,13844168,14117859,14374073,14577216,14796143,14973719,15151733,15334264,15468769,15601174,15782232,15901220,15985131,16123420,16200494,16252696,16298722,16327954,16421071,16431309,16464286,16464414,16468802,16475441,16469064,16450558,16447224,16413219,16359652,16296148,16213354,16097971,16003060,15911609,15776569,15661131,15479606,15344756,15126690,14953858,14781067,14573866,14329814,14066754,13787857,13552422,13283377,12957870,12631858,12298471,12010176,11684309,11351341
21,601132,1184485,1796606,2357625,2912128,3506808,4062372,4565578,5126850,5641348,6109022,6627379,7115338,7574132,8045903,8487183,8949511,9404727,9842374,10258760,10631945,11010263,11360102,11692456,12046636,12345606,12674381,12956874,13238492,13480219,13763647,14046937,14277951,14531448,14772483,15006454,15182155,15356124,15503198,15641635,15749455,15924775,16051717,16204938,16346118,16416967,16504921,16575896,16626891,16687316,16730625,16782457,16808865,16774738,16762439,16692644,16675862,16608870,16579108,16528311,16417923,16313042,16233388,16133765,15981106,15855709,15684259,15532151,15314922,15079672,14847916,14605180,14347971,14064660,13833644,13580851,13316662,13063208,12795950,12445965,12114639,11790999,11460882
22,640213,1242601,1843549,2381924,2942314,3538817,4089310,4629403,5128273,5674222,6173264,6651536,7165775,7594984,8058140,8480800,8876766,9280400,9716104,10074803,10492522,10853981,11226349,11578148,11881468,12241289,12567162,12838868,13116471,13373919,13599987,13888765,14128040,14316694,14493285,14678694,14850555,15047774,15249820,15375129,15494578,15628294,15723477,15841295,15911592,16036757,16094556,16164747,16232455,16245273,16300625,16302605,16335316,16337387,16297376,16254730,16176130,16139356,16101505,16020589,15958961,15831940,15736786,15618928,15498479,15373116,15213348,15053867,14858668,14633715,14409198,14170110,13928671,13666282,13410765,13171061,12897864,12573640,12301030,11989458,11653540,11287345,10955196
23,571967,1169103,1782588,2355660,2918039,3446530,3954675,4488051,4997114,5524231,6034365,6536640,6990973,7406339,7819430,8240255,8655812,9034358,9392175,9802577,10184331,10553404,10938923,11314186,11680018,11964080,12253049,12541761,12837518,13084786,13327860,13603364,13848163,14052690,14259422,14461320,14647544,14836614,15004214,15185739,15304196,15468653,15609114,15751778,15818544,15929929,15987701,16078791,16131851,16176713,16234967,16255585,16227139,16195350,16170006,16158900,16108050,16044407,15954166,15859207,15753521,15681913,15561061,15475161,15371325,15266425,15070693,14924380,14705841,14514868,14302730,14095019,13891786,13632785,13397587,13127420,12838991,12545238,12262691,11949141,11644508,11283126,10932779
24,603555,1220825,1819015,2414871,2930265,3490472,4008363,4508644,5023443,5553910,6042440,6497363,6969171,7438976,7864708,8283761,8716794,9146502,9541508,9925604,10325472,10656085,11001492,11341249,11638020,11932401,12240721,12509890,12780578,13026181,13269329,13532181,13756318,13969031,14168687,14377920,14580950,14717803,14887473,15036496,15158263,15306622,15411407,15539433,15660877,15762387,15854943,15922269,15974845,15978139,16025333,16071786,16112146,16092014,16047880,15990679,15935244,15903192,15806597,15741698,15627108,15518982,15439509,15346328,15222173,15115053,14927389,14768221,14625998,14473994,14275520,14075492,13872818,13660184,13415937,13140821,12875072,12626986,12317101,11985627,11634606,11295146,10964818
25,626346,1191487,1741517,2312512,2882117,3439412,3981744,4519390,5027494,5537078,6009255,6440435,6934502,7352645,7771171,8190539,8626922,8989679,9404291,9781349,10167049,10521393,10850374,11181963,11494588,11802194,12080136,12400411,12691203,12944212,13190898,13435597,13658005,13856766,14046970,14258718,14485205,14627865,14809525,14986570,15124775,15249229,15375571,15461918,15574472,15697697,15782114,15833154,15875117,15916545,15945489,15974344,15944027,15969393,15970088,15980434,15908267,15827770,15762981,15678809,15612760,15541066,15454089,15326526,15205946,15074500,14947560,14786935,14602539,14431157,14266560,14089255,13890186,13630699,13415854,13174064,12869927,12578098,12293814,12008914,11679942,11382475,11062671
