,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00
27.00,"2,873,219.12","5,542,891.71","7,676,020.37","9,503,315.75","10,772,918.28","11,965,458.86","12,703,259.04","12,960,576.87","12,826,815.53","12,415,076.32","11,407,977.79","11,366,992.20"
28.00,"2,945,578.60","5,422,057.80","7,472,094.03","9,152,602.61","10,622,980.00","11,720,394.67","12,438,932.09","12,475,367.57","12,247,085.78","11,598,211.56","10,725,961.18","10,685,608.16"
29.00,"3,067,361.28","5,626,092.51","7,969,792.59","9,683,994.61","10,943,054.15","11,912,976.93","12,389,892.74","12,392,375.97","12,035,939.17","11,441,144.55","10,517,915.54","10,478,151.64"
30.00,"2,957,613.04","5,439,996.11","7,565,134.54","9,359,844.56","10,570,031.38","11,656,431.39","12,117,813.16","12,266,356.83","12,020,791.59","11,555,346.81","10,655,076.66","10,616,198.27"
31.00,"2,763,052.13","5,336,725.18","7,616,040.29","9,514,806.08","10,844,780.30","11,675,570.10","12,095,015.18","12,108,432.89","11,865,396.25","11,420,214.39","10,487,164.31","10,448,967.79"
32.00,"2,855,725.81","5,306,490.20","7,204,977.21","8,942,435.32","10,377,980.60","11,291,842.53","11,774,203.49","11,806,086.46","11,441,554.43","10,721,433.84","9,730,191.21","9,692,568.65"
33.00,"2,632,481.04","5,190,848.71","7,129,703.41","8,696,063.55","10,123,441.30","11,171,528.50","11,872,636.26","12,146,574.60","12,086,886.53","11,545,932.15","10,633,773.57","10,596,376.55"
34.00,"2,774,678.04","5,115,258.06","7,072,985.86","8,898,950.06","10,296,108.25","11,251,323.20","11,860,450.36","11,984,970.52","11,862,472.62","11,430,069.53","10,448,659.53","10,411,482.21"
35.00,"2,619,840.21","5,160,484.40","7,189,837.99","8,699,434.80","9,822,162.39","10,875,083.06","11,312,791.45","11,449,572.72","11,263,823.64","10,745,185.85","9,824,411.02","9,787,868.58"
36.00,"2,562,622.40","4,828,708.55","6,705,521.38","8,427,546.82","9,669,143.50","10,669,575.25","11,091,100.37","11,331,154.73","11,208,004.02","10,715,633.03","9,752,426.91","9,716,749.23"
37.00,"2,697,758.25","4,963,655.19","6,891,113.77","8,496,249.50","9,690,696.93","10,422,237.94","10,843,206.73","10,844,678.18","10,815,128.89","10,271,327.14","9,412,955.49","9,377,938.40"
