1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-475671,-439012,-405728,-391244,-351213,-353633,-355029,-341143,-342646,-337314,-323876,-311422,-303939,-272441,-269520,-262538,-241408,-229015,-216771,-185805,-182262,-158168,-146522,-135025,-136588,-125390,-105113,-99147,-88397,-57366,-65568,-48866,-12647,-2643,17379,47249,56362,65768,88399,97507,106466,133246,166899,158302,166664,191780,183326,191240,199004,232469,254707,262024,253740,260758,286820,293539,291363,297783,308890,316852,299915,305738,311412,316936,322312,328793,316995,336747,314942,299359,314344,302918,292780,296812,317248,320980,339983,322962,342913,369747,395081,402382,416076
-460851,-444469,-410665,-416521,-376766,-361902,-347195,-333046,-349010,-363777,-344026,-305783,-300400,-286788,-273333,-275815,-262673,-249687,-245586,-242813,-230297,-217937,-174548,-157549,-145658,-133924,-96263,-84842,-73577,-62468,-58166,-47370,-19881,-30596,-20270,-10101,-24380,-15391,-5691,14686,3835,37747,21858,14878,23640,52489,47132,55424,34470,42449,50272,34504,28609,60224,67421,65218,92332,127845,148426,154841,188379,222244,228189,233978,212895,218371,216666,221829,249280,272760,282945,287482,278519,282744,286812,284695,288450,280785,284227,299821,302950,276194,279010
-511648,-495452,-479419,-463550,-454092,-448330,-408780,-394617,-379566,-372944,-358220,-357741,-350210,-330985,-286493,-272587,-258845,-272314,-230247,-215926,-218428,-205503,-199559,-200288,-193497,-185087,-172981,-174129,-162350,-129504,-118052,-75026,-63901,-52940,-36016,-51497,-55286,-15222,-26768,-7764,2052,26585,10543,19868,29030,42693,78170,100286,123720,137332,145512,154455,162307,194217,201743,236856,256088,277050,311529,318237,324781,349923,348933,355396,393749,399475,405038,438532,457230,486126,505757,510502,527176,531594,535847,539937,543864,541112,556610,553498,556770,576514,579458
-449865,-428352,-380851,-344076,-355438,-339884,-297632,-301010,-285302,-251038,-227101,-206338,-191313,-206791,-222344,-207830,-161046,-146875,-132874,-119044,-101690,-56487,-72533,-81353,-91188,-109079,-96444,-83980,-59530,-47408,-13634,-1852,9758,41081,47527,58626,74488,97284,107870,148810,192556,217334,228641,209902,219464,239152,248372,257422,263939,295557,336738,364899,373095,372387,380242,387925,417333,409933,417104,423181,398384,393908,400396,436286,442432,441729,447534,453169,424615,423754,428877,460886,432988,463944,452824,455609,459707,483667,466084,461962,465377,478401,494226
-454781,-464523,-439045,-431614,-414537,-396042,-352814,-336270,-319905,-303717,-301959,-292813,-277159,-249741,-206759,-191638,-176696,-189094,-174508,-160099,-140870,-126817,-120684,-110809,-67172,-28124,-47247,-34261,-21453,1142,23744,36018,36053,57544,53167,37574,37441,48735,56054,66905,77578,88073,67009,53335,92257,102041,112171,150740,143936,170317,208343,188696,194268,202244,178066,186070,193897,201546,209018,196234,203349,221794,228554,235135,268258,276598,273890,279760,263540,264065,274235,279394,284374,266615,273739,292214,285145,260381,253337,289047,257506,260885,238040
-518251,-499933,-448716,-397308,-377216,-359639,-331924,-300011,-291777,-304726,-288074,-252719,-259181,-243083,-247377,-201778,-182424,-183727,-168555,-153568,-138766,-139594,-94269,-95729,-81667,-49288,-34133,-22727,-45200,-4643,-19871,-38973,-26391,-13994,-1777,10250,22092,33748,45220,56507,67608,78525,75669,86216,96577,101009,88505,114051,123673,147306,151784,160851,169732,186528,159313,202884,217337,226372,234143,214822,252363,294929,301960,290760,279357,254442,260733,276498,282419,288155,293706,262531,267712,272707,275288,279914,249411,253667,283534,289445,293146,296661,332464
-510722,-476544,-435885,-417244,-423597,-405341,-377230,-320931,-303342,-274298,-291518,-274415,-251852,-211242,-176544,-183066,-166924,-134589,-96270,-80704,-74769,-28790,12807,31568,49422,29501,56955,51950,64132,75930,63174,76433,89501,139565,129362,137951,173391,185498,197412,240588,252118,254228,254637,265591,251811,272394,282771,292956,306192,315992,304841,314257,323481,332513,341353,384637,392259,400522,439860,455834,451345,464277,487928,508669,515587,547153,553686,527216,558944,582300,621187,630038,644598,649787,620998,605037,609649,621354,625581,629617,613484,651220,654679
-480069,-499299,-479766,-474202,-455068,-454686,-461095,-438135,-419798,-401660,-357751,-310746,-268565,-251225,-227183,-239047,-240209,-223666,-207322,-189969,-188434,-172688,-150216,-134869,-119721,-86789,-54170,-39620,-44227,-30076,-50996,-37244,-634,51534,34355,47311,78148,90705,140519,123952,135911,131471,143031,154392,165553,176515,187278,158881,138035,118331,128296,162853,206374,215741,224910,233879,239728,248298,242173,278077,248281,233157,256190,280177,319873,326849,329784,346441,352819,368468,391645,359673,357380,352868,358050,380650,399803,372279,363139,373325,377452,381239,384826
-495000,-503116,-482883,-462857,-469787,-450174,-460617,-441416,-422422,-405091,-418034,-432597,-444300,-441323,-409289,-391740,-333872,-356679,-339750,-344744,-336705,-361250,-345146,-329249,-313558,-310033,-264386,-249314,-227099,-228494,-231380,-221987,-207017,-193185,-166189,-158051,-123686,-125198,-84443,-46666,-22229,-12521,7134,18902,30464,41819,52968,78664,104411,122960,113039,105988,93085,102788,153060,162350,133866,142743,167613,166997,149569,162081,169926,168199,191502,198728,207355,214168,230937,205253,234310,228296,234076,239651,220614,225776,217733,209981,214523,212215,211252,208615,243955
-495925,-463362,-481387,-473167,-452662,-402105,-367641,-347176,-327525,-334973,-315749,-284851,-306251,-287667,-269298,-251142,-233199,-246737,-262009,-213649,-206578,-169459,-163474,-174483,-158249,-114184,-128264,-104056,-123613,-137491,-122539,-92933,-78408,-94097,-80000,-66116,-17339,-478,34610,70770,119138,103566,139312,118479,130440,148275,148512,159833,170940,181834,192514,168154,178406,210251,206847,191423,201444,210629,186550,177217,196927,202195,210312,218215,225905,230274,218323,185941,189873,196495,233862,198805,164490,173946,157138,162478,130015,135097,139796,183012,202523,183652,187496
