,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
11,-4456654,-3839802,-3281673,-2761130,-2113693,-1615302,-1243808,-820436,-344258,162757,643784,919797,1340661,1753092,2171807,2559445,2936007,3301494,3655906,4134066,4452411,4729466,5165915,5405528,5719444,5996329,6262137,6634343,6878001,6990760,7212267,7467662,7542877,7594381,7678091,7862995,7927683,8071662,8102564,8248657,8388241,8619970,8815779,8893306,8959758,9015135,9059437,9092663,9182906,9204352,9355327,9344252,9322101,9154249,9109948,9154974,8985365,8907837,8819234,8680090,8704460,8638999,8593998,8440335,8248209,8205635,8016450,7828169,7573352,7362920,7157613,6825741,6728072,6473339,6207530,6088763,5932646,5483200,5074761,4883679,4504979,4318417,3910763
12,-4423757,-3841864,-3271847,-2713704,-2167437,-1594387,-1182498,-671857,-173092,313799,929203,1392342,1843606,2235959,2663472,3027273,3562942,3824206,4132560,4461495,4757471,5101857,5275526,5438631,5889058,6157176,6463515,6743487,7086453,7473599,7733798,8026710,8240466,8346240,8569864,8783555,8949811,9095923,9078125,9219660,9464042,9442658,9537661,9620788,9692041,9751417,9730293,9765919,9789670,9796607,9805242,9793366,9816956,9781330,9842652,9863767,9883919,9738748,9537009,9497553,9477361,9479449,9486788,9404342,9217822,8996028,8711629,8389964,8016645,7931831,7689754,7440371,7179113,7017662,6821194,6539623,6230864,5745031,5412521,5011382,4597388,4229252,3849240
13,-4233470,-3577863,-2906232,-2278689,-1829832,-1228992,-596880,-88881,311093,1046444,1652963,2287102,2622204,3136535,3617206,4084525,4628889,5069504,5496767,5764557,6165116,6552303,6938992,7273722,7548287,7951179,8271626,8578722,8706383,8824674,9106930,9345252,9716745,9943729,10157361,10480680,10794868,10948075,11108299,11255170,11480782,11600950,11702459,11795923,11736912,11988641,12205660,12096238,12098438,12111790,12238109,12173673,11999586,11841811,11905208,11971246,12001207,11922516,11752954,11632786,11567100,11492836,11307525,11133949,10983405,10783125,10424932,10132272,9894565,9709504,9556438,9281250,9095179,8738147,8278143,7791722,7472702,6925594,6490132,6102925,5539567,5129150,4673641
14,-4269943,-3622587,-2820163,-2133909,-1514368,-857316,-145378,615738,1228986,1636692,2220738,2628087,3341137,3874800,4387519,4898559,5447545,6014835,6285866,6841705,7108980,7619213,8028046,8608436,8900062,9085749,9623591,9959417,10307270,10613894,10905917,11348334,11681682,12097435,12165101,12384118,12535771,12719884,12984001,13300709,13446720,13578131,13667463,13692564,13780171,13959795,13885191,13928995,13898544,13938984,13776920,13685312,13804094,13760290,13535812,13420713,13333106,13084065,13162936,13031525,12710640,12371297,12196083,12156897,11804681,11552794,11305284,11057064,10794243,10487929,9988880,9682256,9245107,8909281,8515561,8226468,7702193,7307962,6999737,6711790,6337823,5980262,5573620
15,-4243646,-3488990,-2662332,-1938478,-1369102,-676050,180662,903587,1559969,2386816,3077052,3677697,4099032,4668874,5223316,5686631,6210270,6718508,7211345,7585574,7844348,8170803,8676006,9091837,9492267,9924167,10169976,10674485,10841684,10996378,11172762,11471124,11748344,12010164,12160361,12391378,12779704,12822675,13007489,13115709,13269721,13196020,13135467,13250415,13458950,13475976,13664402,13710605,13822299,13807672,13950210,14150605,14042262,14185899,14124295,13907285,13807871,13868282,13677698,13578367,13616457,13332305,13109201,12838825,12824529,12593512,12347094,11876325,11599104,11425256,11004792,10617412,10325185,10049194,9505464,9120436,8707142,8253494,7640693,7062353,6409913,6138000,5478906
16,-4213575,-3442878,-2794811,-2019666,-1296155,-739386,-47331,628994,1415307,1966993,2435017,2859531,3457215,3886182,4419718,4757375,5313933,5616445,5924260,6411844,6819820,7275947,7887858,8440386,9041140,9434353,9638321,10083776,10429803,10556482,10669347,10829955,10943600,11076207,11327863,11563791,11930206,12134676,12339036,12433166,12542477,12684033,12648754,12669170,12759938,13058819,13157097,13204283,13298827,13314555,13314555,13298827,13267370,13220184,13006778,13021318,12707839,12402335,12068024,11751648,11385006,11378737,11189995,10980776,10830827,10594899,10343243,10065012,9781899,9646429,9331859,9093215,8865035,8503279,8342449,7943867,7636850,7212181,6964535,6466040,5776946,5289362,4727922
17,-4146380,-3273641,-2316609,-1674443,-855137,-120885,662799,1402830,2150892,2881142,3593582,4288211,4965028,5624035,6231955,6963270,7541790,8129553,8699504,9045171,9364910,9881429,10380136,10695901,11158987,11805711,12107613,12423694,12799050,13366655,13722875,14062190,14382788,14823376,15214492,15481657,15731011,15989394,16403995,16599916,16863827,17065075,17351261,17475938,17582804,17447534,17661383,17595308,17772734,17853405,17862721,18047421,18225557,18356808,18244048,18154993,18048127,17851582,17709094,17548795,17474560,17517212,17369057,17071824,16731379,16464214,16062858,15729049,15408451,15131297,14814966,14440935,14049093,13732987,13200826,12558602,12095516,11801856,11127898,10614686,10080356,9528215,8958263
18,-4010500,-3028170,-2134842,-1051902,-419221,534896,1471166,2271439,3006276,3602761,4167353,4793787,5292394,5981001,6650997,7302381,7935155,8802901,9254203,9741772,10459547,10999266,11740692,12086109,12569995,13035269,13310256,13640442,14049884,14440715,14892759,15029669,15609284,15930366,16238712,16371686,16499589,16915202,17138534,17085360,17117397,17284896,17205599,17256939,17250120,17086480,17160924,17323059,17525917,17544528,17607275,17588664,17705463,17514655,17440211,17347156,17235490,17054964,16906076,16738577,16436441,16328141,16104809,15862866,15441230,15107294,14809518,14493132,14267093,13945520,13479628,13061540,12652098,11975596,11315851,10799344,10455515,9839679,9318571,8892907,8334578,7668357,6870998
19,-3767910,-2824441,-2127844,-1007208,-232091,634361,1723932,2710641,3519329,4485777,5255956,5925661,6657331,7594734,8241201,9029609,9431573,9850803,10466946,11115345,11692979,12137822,12676947,13196818,13954034,14421497,14864855,15083840,15507439,15878534,16437886,17071822,17675128,17804666,18237425,18421753,18691316,19036182,19267236,19410148,19602692,19805808,19959844,19992237,20055000,20162160,20507474,20360894,20265521,20197409,20162056,20142802,20014107,19800801,19723783,19382592,19271430,19136648,18930257,18756966,18674165,18692437,18495036,18472771,18477044,18188227,18058993,17731666,17446682,16998224,16538095,16389921,15966322,15557564,15095456,14490281,14120562,13600691,12997581,12429270,11846098,11275407,10751495
20,-3729656,-2746986,-1784372,-841811,91778,994229,1876626,2738968,3296990,4207318,4946388,5844189,6606259,7442650,8301256,9274477,9956329,10756131,11144056,11537660,12348672,12961749,13786429,14327899,15124319,15625681,16271139,16620356,17061555,17504339,17986881,18596709,18957690,19367430,19732888,20192379,20473142,20681526,20922179,21369968,21570513,21751003,21911439,21773018,21913242,22209226,22094690,22154853,22194962,22101624,21950269,21830619,21645838,21598943,21646883,21665531,21611402,21322512,21359064,21156663,20956119,20809943,20528245,20252123,19971360,19488112,19439680,18968746,18670625,18286961,17885871,17702185,17079288,16781102,16363708,15862347,15544780,15003310,14651807,14070227,13468593,12802294,12225606
