1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-499149,-495725,-494166,-490811,-486487,-484964,-483476,-480260,-478990,-469958,-461167,-459519,-453238,-446370,-443396,-433972,-430558,-429105,-423630,-420829,-423415,-420683,-413804,-417881,-415253,-408146,-405587,-404998,-401029,-398574,-401646,-405164,-402812,-399944,-390955,-394047,-386721,-383243,-381099,-378989,-377938,-375898,-373892,-371921,-375906,-368926,-363979,-355525,-355908,-351833,-355437,-358639,-351849,-351336,-349745,-350204,-353835,-352348,-346626,-347814,-344878,-343530,-346741,-343827,-348836,-342420,-340565,-334371,-333265,-334745,-333707,-332079,-325704,-326150,-328330,-321911,-324371,-319911,-319150,-317320,-316628,-316332,-319899
-496199,-497699,-497797,-494110,-490304,-486693,-490128,-491225,-484863,-481404,-480211,-473149,-469804,-467527,-466314,-463083,-458215,-451218,-443685,-440606,-437566,-435780,-432815,-431858,-432961,-434800,-431987,-433447,-428294,-429090,-426429,-416816,-414231,-411685,-415488,-415592,-413913,-411518,-409161,-406394,-408780,-405929,-401324,-398313,-396184,-394094,-390932,-381734,-381568,-379630,-382803,-380941,-380660,-383349,-381601,-375701,-377793,-374514,-368520,-366962,-361196,-366062,-364618,-364475,-356858,-355212,-348174,-346920,-350368,-349190,-348049,-343222,-339546,-344224,-343235,-342285,-341274,-345646,-344903,-338644,-335149,-331978,-331294
-502921,-493160,-485886,-481866,-470936,-471773,-460257,-456403,-448951,-445180,-441451,-437763,-434116,-432255,-428691,-425169,-421688,-424431,-428979,-425622,-428162,-423580,-418153,-420358,-421119,-423877,-422852,-419827,-409587,-406645,-399212,-391324,-384846,-382070,-384558,-381865,-373737,-371946,-368641,-364301,-359420,-356975,-354572,-352209,-349618,-354351,-352114,-357118,-347781,-353184,-351112,-354714,-356702,-354754,-352848,-343064,-346197,-345484,-351361,-356923,-356715,-355098,-353524,-351990,-344683,-341321,-339912,-335157,-333831,-334801,-327348,-326146,-326244,-320391,-323438,-320122,-312174,-311221,-310132,-315490,-321946,-321971,-328148
-495513,-490069,-485672,-487864,-483557,-471163,-466946,-463466,-452766,-451856,-447818,-439764,-435815,-431912,-428053,-426469,-421696,-422670,-424698,-417005,-419318,-412531,-402585,-402765,-396669,-392096,-388311,-376316,-373086,-369900,-366759,-359291,-356240,-350986,-348025,-346056,-344652,-341825,-338038,-331542,-321717,-319070,-311718,-304961,-307637,-307465,-313892,-316173,-313839,-302770,-297509,-293314,-297188,-295079,-293015,-290996,-289021,-287092,-285208,-274598,-264144,-260681,-263781,-259932,-267226,-257858,-258800,-256940,-260353,-258962,-257616,-263281,-261386,-256090,-253301,-247244,-251072,-243897,-242910,-238291,-237680,-231618,-232102
-489503,-481790,-477057,-465104,-457105,-443874,-439334,-434843,-427228,-422833,-418486,-405788,-401538,-399815,-399955,-388817,-384760,-384634,-373076,-371129,-362815,-358999,-354648,-350006,-336730,-339703,-335317,-337477,-342201,-338772,-335391,-331695,-329917,-335042,-329007,-331695,-328604,-325561,-322567,-314343,-311445,-299492,-303330,-302904,-308700,-306043,-296012,-295496,-292426,-286959,-284544,-274861,-265843,-263573,-267412,-265238,-261182,-260786,-258757,-258645,-259370,-263676,-261840,-260053,-258315,-254292,-252650,-251056,-245989,-249562,-248113,-246713,-245360,-241809,-247230,-246023,-244864,-243753,-242690,-241676,-235602,-234684,-230263
-494827,-485617,-480548,-473149,-468183,-455636,-448075,-443264,-438505,-424437,-419781,-415178,-415080,-415715,-416130,-411734,-402244,-390589,-386347,-387908,-393263,-381186,-377151,-363210,-369284,-367491,-371520,-367744,-370334,-366661,-365036,-360859,-357341,-353876,-347731,-344369,-342456,-348859,-338847,-345828,-336936,-333299,-330299,-327902,-325005,-314588,-311795,-315948,-314797,-302594,-308343,-299128,-296645,-294214,-284910,-291427,-282112,-288997,-291398,-282719,-285040,-289951,-285602,-273704,-278909,-274668,-270168,-268461,-266805,-267760,-263199,-254198,-252749,-251353,-250008,-255601,-245192,-249019,-256524,-255811,-254178,-249373,-248442
-494485,-489024,-476078,-468867,-463573,-454998,-455897,-452325,-441765,-444662,-441358,-430709,-415658,-410860,-399704,-389013,-384380,-379802,-382228,-367784,-363680,-350505,-350363,-346116,-341925,-337788,-330114,-326088,-321728,-308414,-304554,-306590,-299178,-301688,-292015,-288430,-287810,-284335,-280916,-272034,-260461,-256888,-253689,-246620,-240401,-237367,-240387,-237463,-233901,-231088,-228331,-225628,-218840,-215082,-212545,-210063,-199166,-196794,-191265,-194941,-192735,-190584,-184933,-188313,-176857,-185584,-180413,-168853,-167088,-156076,-154421,-141852,-132642,-131153,-129719,-124360,-132054,-131541,-130328,-129897,-128794,-119574,-122557
-488917,-478083,-473277,-467594,-454421,-440752,-427954,-413221,-416479,-401537,-405090,-411482,-400569,-395473,-390435,-385455,-382128,-377266,-376145,-376345,-371659,-356786,-352216,-353392,-344709,-340315,-342061,-329188,-324970,-320811,-316799,-316040,-301154,-288628,-292939,-291171,-283902,-281500,-283445,-279871,-279234,-273899,-259166,-249461,-252270,-249048,-235916,-228650,-214109,-207702,-211974,-208341,-196190,-193436,-190742,-194981,-192404,-191827,-187490,-180720,-178376,-185991,-183765,-190317,-190738,-188688,-186696,-183484,-189161,-179754,-175468,-181871,-178576,-181869,-183780,-189796,-188390,-177773,-176484,-167846,-164079,-162966,-163116
-490749,-481338,-478871,-474714,-468761,-462870,-457041,-461556,-458945,-457065,-458268,-452749,-447292,-441897,-427080,-420951,-409726,-404579,-399494,-394471,-389510,-384259,-372883,-378445,-373732,-369081,-364628,-350489,-340320,-329911,-325570,-330475,-325876,-321721,-314570,-311553,-318538,-314631,-310787,-313093,-297439,-283683,-280086,-266657,-267151,-260868,-245445,-253009,-260546,-256558,-253458,-250419,-256042,-261070,-258218,-255427,-248827,-246161,-253302,-256991,-248612,-247632,-251633,-237923,-235690,-234504,-232395,-227035,-232355,-228010,-214500,-214338,-206886,-202813,-202651,-212728,-211240,-200334,-187413,-186111,-175804,-174626,-172282
-493456,-486100,-476612,-470265,-463982,-445098,-447291,-451251,-445231,-449376,-449262,-431440,-425681,-417058,-411430,-405867,-387585,-376636,-371270,-365493,-360258,-352340,-345894,-341393,-331948,-324356,-309491,-300065,-293890,-289244,-296389,-292410,-280147,-287187,-284442,-270897,-266709,-262586,-258529,-251395,-247469,-240547,-240087,-238094,-236312,-220218,-207227,-210387,-215879,-212360,-207100,-216636,-204301,-201226,-198215,-206983,-213591,-218341,-211573,-208890,-206272,-210620,-204523,-202102,-199746,-197455,-188510,-182483,-175988,-173959,-160018,-158120,-156288,-154521,-140450,-145305,-149957,-148452,-139712,-132717,-142123,-140879,-139149
