,1.00,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00,17.00,18.00,19.00,20.00,21.00,22.00,23.00,24.00,25.00,26.00,27.00,28.00,29.00,30.00,31.00,32.00,33.00,34.00,35.00,36.00,37.00,38.00,39.00,40.00,41.00,42.00,43.00,44.00,45.00,46.00,47.00,48.00,49.00,50.00,51.00,52.00,53.00,54.00,55.00,56.00,57.00,58.00,59.00,60.00,61.00,62.00,63.00,64.00,65.00,66.00,67.00,68.00,69.00,70.00,71.00,72.00,73.00,74.00,75.00,76.00,77.00,78.00,79.00,80.00,81.00,82.00,83.00
1.00,"146,019.36","282,363.55","405,829.30","528,189.27","648,111.70","770,974.74","887,908.57","1,011,927.44","1,135,604.85","1,243,125.50","1,359,011.46","1,462,363.84","1,562,606.41","1,673,172.80","1,765,573.69","1,872,310.68","1,964,840.66","2,052,735.53","2,146,327.04","2,225,086.73","2,302,414.35","2,389,069.29","2,468,595.09","2,553,061.11","2,620,153.13","2,683,507.91","2,758,757.08","2,829,989.02","2,897,543.85","2,964,300.13","3,020,011.02","3,067,792.02","3,112,682.45","3,155,529.25","3,198,113.14","3,250,142.11","3,293,499.13","3,339,685.11","3,369,712.08","3,411,592.62","3,451,001.88","3,486,840.32","3,513,898.85","3,536,237.74","3,549,910.50","3,569,287.42","3,589,700.11","3,597,277.48","3,612,591.85","3,629,110.97","3,626,749.88","3,628,168.67","3,633,809.12","3,640,812.42","3,632,247.14","3,630,715.99","3,629,926.63","3,611,696.77","3,591,106.88","3,566,001.43","3,551,451.89","3,532,221.43","3,515,813.77","3,486,620.12","3,454,060.44","3,412,661.82","3,372,659.22","3,343,458.21","3,305,364.24","3,269,622.71","3,226,470.48","3,182,155.51","3,139,979.82","3,089,253.28","3,038,835.18","2,980,805.57","2,916,697.30","2,851,464.23","2,787,266.24","2,716,151.26","2,640,751.48","2,557,317.95","2,482,431.04"
2.00,"160,669.54","319,980.75","475,838.59","631,848.78","772,496.91","913,853.35","1,055,858.30","1,193,285.27","1,336,157.22","1,462,821.41","1,602,800.86","1,724,267.68","1,849,510.60","1,974,821.26","2,087,836.89","2,211,136.23","2,312,984.23","2,429,963.09","2,543,746.24","2,642,554.18","2,750,100.01","2,842,849.87","2,942,846.87","3,031,498.24","3,126,312.62","3,218,514.49","3,292,418.81","3,363,246.07","3,429,465.53","3,507,316.99","3,581,337.95","3,644,765.87","3,701,745.22","3,763,242.85","3,813,819.76","3,861,292.05","3,907,513.44","3,956,295.91","4,000,278.16","4,031,347.89","4,074,583.04","4,115,305.91","4,152,024.57","4,176,027.24","4,194,739.62","4,224,987.12","4,254,550.16","4,264,777.24","4,277,690.22","4,278,425.52","4,275,769.32","4,276,917.85","4,286,776.39","4,275,300.93","4,263,726.61","4,252,506.33","4,234,311.68","4,226,935.13","4,201,808.76","4,192,060.48","4,174,617.12","4,142,766.26","4,114,413.49","4,091,262.31","4,055,466.87","4,016,663.75","3,965,553.19","3,918,570.19","3,880,811.68","3,832,432.18","3,787,887.88","3,727,146.13","3,670,147.57","3,605,872.09","3,530,041.03","3,459,278.55","3,382,055.50","3,302,688.13","3,235,035.74","3,162,454.32","3,081,837.75","2,988,606.36","2,904,814.55"
3.00,"178,885.22","345,509.72","519,210.81","683,154.98","835,580.02","1,005,787.93","1,172,020.47","1,329,457.25","1,476,410.39","1,615,570.28","1,768,882.59","1,913,989.06","2,039,018.46","2,183,776.61","2,322,700.21","2,458,498.79","2,579,445.47","2,696,532.03","2,808,255.68","2,930,325.95","3,049,268.95","3,158,894.20","3,258,770.93","3,363,661.74","3,451,185.82","3,550,924.32","3,640,974.26","3,737,248.63","3,812,598.60","3,883,550.09","3,967,309.18","4,029,813.51","4,090,631.65","4,146,660.05","4,209,318.92","4,269,514.23","4,315,759.68","4,370,213.66","4,408,780.44","4,443,182.95","4,495,838.34","4,541,432.98","4,585,450.35","4,619,612.97","4,656,966.89","4,671,476.07","4,703,958.66","4,723,026.93","4,747,498.04","4,754,375.35","4,769,456.51","4,774,011.24","4,784,802.76","4,785,308.79","4,777,820.91","4,777,519.87","4,767,029.80","4,747,909.53","4,740,750.75","4,707,412.01","4,690,198.04","4,672,252.07","4,635,155.98","4,604,992.64","4,572,343.30","4,534,892.30","4,493,246.44","4,443,929.45","4,388,998.90","4,334,300.12","4,274,494.62","4,223,044.17","4,146,954.65","4,071,070.34","4,002,506.15","3,917,753.59","3,829,164.05","3,739,152.28","3,645,882.57","3,565,622.76","3,472,480.71","3,371,679.61","3,267,213.86"
4.00,"223,241.25","421,887.20","616,771.77","829,644.10","1,038,536.79","1,222,480.19","1,396,600.58","1,567,618.35","1,745,566.38","1,910,323.21","2,091,219.55","2,248,397.68","2,404,817.77","2,566,965.99","2,732,853.00","2,882,338.55","3,030,326.48","3,183,397.46","3,334,312.03","3,479,206.20","3,617,425.24","3,750,377.22","3,866,856.60","3,972,644.15","4,100,122.36","4,206,197.69","4,309,893.12","4,399,466.42","4,487,089.07","4,589,521.07","4,682,143.10","4,773,508.04","4,843,896.04","4,919,710.48","4,986,891.85","5,069,003.24","5,139,815.73","5,192,999.65","5,250,155.63","5,296,445.18","5,351,713.20","5,410,455.13","5,448,162.81","5,479,587.25","5,508,838.74","5,549,344.95","5,576,441.50","5,591,816.91","5,603,317.64","5,623,467.76","5,621,883.93","5,614,438.46","5,629,878.31","5,626,567.45","5,624,345.00","5,608,669.25","5,602,942.48","5,598,332.73","5,570,469.25","5,552,883.48","5,526,953.83","5,481,222.08","5,440,735.91","5,390,289.40","5,341,054.38","5,276,982.19","5,234,928.99","5,163,561.51","5,101,194.21","5,036,819.72","4,952,908.01","4,890,381.23","4,825,355.71","4,733,934.42","4,652,706.24","4,547,706.20","4,448,347.57","4,342,928.66","4,249,207.21","4,143,213.77","4,040,709.05","3,918,343.96","3,799,672.84"
5.00,"242,944.69","463,424.12","694,482.41","920,435.19","1,135,198.83","1,360,321.10","1,565,412.33","1,762,776.87","1,956,203.79","2,156,432.76","2,338,971.23","2,518,593.10","2,709,101.10","2,895,437.11","3,074,901.54","3,244,166.66","3,417,606.22","3,578,034.78","3,721,766.02","3,874,168.58","4,027,350.91","4,177,968.24","4,316,577.94","4,437,440.64","4,551,459.80","4,687,673.01","4,797,210.62","4,922,522.93","5,020,112.67","5,129,150.71","5,232,369.09","5,344,553.77","5,437,294.90","5,535,794.91","5,619,336.62","5,710,622.33","5,779,840.26","5,856,408.88","5,923,859.07","5,999,161.72","6,044,572.09","6,090,335.26","6,136,721.48","6,175,148.99","6,200,387.00","6,233,388.49","6,261,205.45","6,288,969.85","6,297,550.91","6,307,218.16","6,302,771.29","6,308,048.12","6,299,962.52","6,310,994.76","6,312,143.61","6,315,974.61","6,296,680.79","6,278,570.32","6,267,895.21","6,230,810.79","6,190,931.88","6,152,008.74","6,120,403.01","6,059,893.90","6,020,860.24","5,957,330.42","5,902,118.64","5,825,041.86","5,747,978.62","5,669,037.04","5,580,670.09","5,494,899.16","5,400,599.40","5,307,904.43","5,209,925.12","5,092,787.31","4,987,436.58","4,869,596.78","4,766,556.02","4,654,606.28","4,513,890.08","4,379,563.48","4,231,764.12"
6.00,"286,735.99","543,020.02","795,598.62","1,055,874.14","1,305,838.16","1,567,203.38","1,817,210.88","2,062,302.08","2,282,183.23","2,513,821.47","2,749,818.48","2,987,751.68","3,211,846.65","3,425,647.64","3,622,437.43","3,813,733.07","4,005,526.37","4,200,948.85","4,369,801.94","4,542,547.16","4,706,858.44","4,878,468.00","5,055,993.15","5,225,268.14","5,388,212.47","5,539,475.98","5,697,526.03","5,844,737.30","5,966,726.51","6,085,005.66","6,204,190.08","6,329,864.18","6,446,526.05","6,563,819.75","6,652,080.62","6,755,182.53","6,839,242.29","6,932,233.96","7,024,960.45","7,112,209.36","7,187,436.91","7,261,419.15","7,315,486.03","7,380,232.77","7,426,499.67","7,458,865.99","7,503,028.35","7,536,873.53","7,542,933.97","7,578,622.85","7,592,245.55","7,613,707.47","7,599,166.49","7,598,354.51","7,584,703.66","7,568,297.19","7,560,335.60","7,552,979.32","7,524,337.65","7,506,013.02","7,466,653.17","7,420,210.14","7,372,648.93","7,323,543.67","7,255,508.13","7,181,818.48","7,102,626.73","7,041,096.26","6,952,502.65","6,859,743.09","6,774,845.74","6,668,868.76","6,577,626.57","6,464,556.21","6,332,636.39","6,200,661.56","6,086,966.28","5,945,722.89","5,793,442.43","5,646,419.23","5,486,004.81","5,319,396.01","5,175,485.96"
7.00,"328,536.85","634,016.26","938,026.94","1,249,001.92","1,549,353.71","1,849,234.70","2,119,916.62","2,381,160.31","2,664,955.72","2,923,173.59","3,189,040.73","3,442,362.89","3,673,623.52","3,895,117.63","4,142,074.16","4,388,966.62","4,619,952.64","4,847,226.02","5,067,947.58","5,282,401.79","5,461,319.80","5,654,912.85","5,836,527.58","6,021,196.14","6,188,855.57","6,350,374.34","6,520,621.63","6,660,321.14","6,828,173.71","6,985,932.28","7,136,223.66","7,251,286.41","7,394,872.08","7,531,954.77","7,654,141.84","7,756,530.94","7,835,386.44","7,939,016.26","8,044,996.36","8,113,710.00","8,200,222.17","8,269,213.30","8,348,311.36","8,394,207.71","8,459,128.60","8,498,428.26","8,541,126.39","8,576,708.08","8,597,041.43","8,598,534.77","8,626,438.83","8,636,539.24","8,653,881.75","8,652,638.76","8,622,755.53","8,627,710.83","8,606,885.10","8,566,685.17","8,542,316.73","8,496,684.04","8,464,193.96","8,425,658.94","8,386,683.79","8,340,702.14","8,285,960.75","8,205,435.39","8,123,735.35","8,028,632.69","7,927,540.47","7,835,200.97","7,745,624.00","7,630,102.79","7,525,642.68","7,394,533.84","7,246,239.22","7,101,586.66","6,963,761.70","6,827,105.21","6,665,488.21","6,513,838.80","6,355,264.35","6,179,272.28","5,995,945.55"
8.00,"347,735.99","707,148.12","1,019,664.60","1,328,418.28","1,640,587.66","1,946,242.45","2,261,288.49","2,579,811.86","2,856,640.12","3,134,661.96","3,398,096.92","3,691,248.91","3,947,383.48","4,193,285.01","4,439,299.14","4,691,973.57","4,922,615.32","5,162,046.67","5,402,345.00","5,621,412.70","5,824,136.12","6,026,930.74","6,207,285.54","6,381,336.93","6,550,360.55","6,732,994.65","6,892,010.24","7,040,670.38","7,201,200.87","7,345,499.01","7,492,879.52","7,619,853.98","7,766,676.95","7,918,845.97","8,039,780.81","8,132,679.01","8,240,868.14","8,362,325.39","8,436,321.41","8,535,685.82","8,630,383.59","8,686,269.13","8,772,084.78","8,855,839.26","8,907,012.14","8,956,692.57","8,993,384.70","9,026,303.72","9,034,652.77","9,040,229.81","9,044,268.46","9,048,769.60","9,053,213.13","9,064,118.23","9,069,290.17","9,075,032.72","9,052,760.06","9,013,901.90","8,995,386.57","8,958,762.19","8,899,342.44","8,841,430.95","8,795,522.39","8,737,760.65","8,654,074.81","8,566,442.84","8,489,549.34","8,412,137.46","8,305,736.25","8,209,317.42","8,096,707.48","7,981,266.55","7,862,705.49","7,714,508.73","7,587,872.07","7,442,283.06","7,306,567.76","7,122,557.86","6,963,464.28","6,796,410.67","6,599,705.41","6,422,733.29","6,250,480.14"
9.00,"371,589.46","709,237.82","1,038,557.22","1,392,219.99","1,732,796.15","2,035,178.61","2,333,610.61","2,642,778.33","2,943,983.41","3,226,226.48","3,532,318.49","3,811,051.70","4,068,719.37","4,348,998.25","4,601,714.59","4,869,646.43","5,112,434.56","5,352,426.52","5,578,863.19","5,783,849.58","6,001,018.49","6,209,561.37","6,417,619.02","6,624,397.95","6,827,882.95","7,017,820.26","7,186,325.76","7,362,284.06","7,538,726.08","7,697,599.85","7,860,127.41","8,013,649.94","8,156,409.41","8,300,864.79","8,443,299.98","8,563,805.84","8,653,622.77","8,740,683.90","8,818,267.77","8,904,010.52","9,003,880.75","9,074,401.21","9,161,779.97","9,234,863.48","9,297,604.02","9,367,962.31","9,433,871.69","9,474,940.59","9,481,761.74","9,497,451.28","9,503,377.22","9,508,175.03","9,527,183.99","9,505,169.76","9,477,288.57","9,458,470.21","9,427,178.79","9,379,272.87","9,346,495.16","9,298,548.82","9,248,353.98","9,168,395.63","9,124,854.26","9,039,759.02","8,971,894.52","8,865,453.99","8,774,553.94","8,698,440.61","8,603,624.84","8,485,511.63","8,349,271.34","8,210,253.85","8,085,051.12","7,954,425.72","7,791,201.00","7,621,167.67","7,458,003.52","7,277,049.05","7,084,237.67","6,888,969.97","6,723,882.91","6,542,062.72","6,352,012.11"
