1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
-784951,-770052,-755304,-740706,-704417,-670874,-634053,-647898,-623415,-625579,-615078,-601684,-588441,-600638,-604476,-591684,-607825,-568197,-544634,-532444,-512269,-488703,-499077,-487489,-474510,-471787,-488444,-502543,-516324,-505639,-495104,-484720,-445257,-455940,-460622,-450840,-437947,-447479,-411581,-395627,-359685,-370450,-387719,-379141,-381513,-373236,-363825,-365106,-334842,-327631,-320106,-286716,-287827,-280754,-261536,-265360,-244802,-222773,-216453,-210282,-179565,-173695,-166360,-160792,-159157,-174373,-169256,-140610,-152970,-148305,-157680,-153316,-135689,-146808,-141840,-157173,-147027,-143566,-169176,-143161,-140151,-123702,-99978
-784522,-740424,-754473,-754978,-719586,-693003,-651260,-636866,-640826,-656710,-648747,-633145,-624181,-622670,-609359,-575985,-562984,-525531,-515645,-503108,-490726,-497314,-489875,-477957,-475031,-454739,-443285,-425243,-444619,-433630,-422795,-412115,-401591,-391220,-411720,-401660,-379186,-361764,-352168,-359614,-367674,-358542,-322778,-342898,-364144,-328938,-305375,-297172,-309629,-301736,-276409,-244894,-237464,-226386,-243981,-237016,-227675,-220624,-197608,-191262,-207491,-201455,-195573,-201764,-196192,-190775,-178740,-173432,-169959,-165161,-160518,-129334,-111819,-95360,-91336,-72819,-69104,-57956,-72415,-41141,-38045,-59937,-61619
-782072,-784694,-747887,-719247,-735500,-718153,-703201,-682421,-667787,-675821,-645345,-631188,-639327,-608880,-580954,-567434,-554072,-564009,-520981,-500425,-487700,-475134,-488475,-447334,-405214,-365696,-369043,-357431,-345979,-302909,-291774,-280799,-299467,-263042,-252544,-224787,-237944,-254495,-214877,-200115,-166949,-127585,-118359,-109293,-100385,-91637,-83047,-80057,-71786,-46760,-38806,-4442,-23038,-45044,-38792,-42034,-9241,-2401,4280,-17701,-11338,25034,5162,6185,1474,7041,6280,33414,53578,58509,69020,47305,62136,66431,70566,89245,93062,101366,104866,104134,107315,100599,119215
-773354,-770105,-757098,-741253,-722873,-710766,-718533,-676966,-631189,-610100,-603069,-588531,-567426,-524232,-516276,-502391,-491229,-461240,-447846,-456052,-450842,-437937,-419618,-404278,-391863,-363204,-351116,-320540,-334760,-323162,-293482,-273724,-242708,-231764,-244777,-205462,-191013,-211958,-201830,-191866,-194721,-191960,-182486,-163335,-150752,-141768,-162736,-154079,-145585,-137254,-154615,-163638,-146058,-138282,-147716,-140366,-133178,-134005,-157637,-150940,-127547,-97944,-91737,-112600,-82150,-78127,-68319,-62928,-57701,-39213,-59639,-54902,-80085,-55305,-21443,2631,38777,68550,78538,88837,69649,72752,86942
-783236,-766641,-733081,-716820,-692160,-690310,-668300,-652710,-662689,-647434,-659750,-644831,-634792,-620207,-629238,-592980,-578899,-585993,-572247,-550051,-552560,-527722,-514646,-501738,-463491,-450919,-467247,-455010,-442940,-431038,-447202,-460307,-469678,-443273,-417604,-424693,-413964,-414924,-384163,-347613,-368257,-391507,-381784,-382870,-350422,-320534,-332827,-316070,-276607,-268057,-259676,-223722,-215676,-186146,-178435,-170891,-157099,-161912,-171202,-158194,-151488,-143116,-126323,-129254,-95480,-91810,-86110,-54967,-43631,-42802,-37773,-6656,7029,11555,27628,20588,2938,-13283,-9595,-6074,5944,-17118,11819
-805554,-755104,-708853,-692176,-691353,-675021,-662923,-646221,-660960,-645315,-639334,-592361,-577232,-536745,-521959,-540147,-525706,-497328,-472303,-482559,-468805,-455223,-409164,-395926,-348778,-323375,-322214,-309664,-281976,-239290,-227256,-228693,-193197,-181678,-140397,-161931,-149264,-108099,-116723,-103801,-78423,-68280,-58309,-35255,-43945,-34490,-39073,-47339,-38399,-29631,-21035,-12610,-1546,34198,52269,60005,67570,103173,110394,117442,124319,158578,144196,165012,171202,209379,215225,198497,204003,209333,214491,196529,201343,212681,186370,199490,203616,184791,194481,193925,183687,186954,212606
-782379,-767130,-749862,-746271,-756643,-743026,-726462,-710075,-690183,-654208,-650523,-634841,-619335,-604005,-557242,-542264,-527463,-502084,-487635,-473362,-449264,-435344,-392376,-376161,-362769,-380561,-367522,-366153,-361639,-343565,-318384,-306226,-312857,-301051,-303400,-273468,-262191,-246877,-264979,-221733,-209613,-227068,-216848,-187009,-181670,-164711,-155196,-145857,-136694,-127708,-118897,-126630,-118172,-109890,-101785,-72248,-66675,-71942,-82616,-56918,-15152,-8279,-9748,26229,29555,17210,18885,32743,38382,62839,68126,73236,102421,121984,139671,170151,173510,177563,190910,194610,182295,194804,197975
-749305,-707891,-690203,-672695,-655368,-667452,-627056,-592538,-575933,-556395,-505321,-520896,-502771,-487068,-480095,-494230,-509484,-490460,-500542,-495835,-498259,-485981,-471903,-454202,-417438,-372296,-358940,-332756,-353321,-308556,-295922,-273134,-248560,-236467,-224555,-217790,-183009,-167323,-127761,-116751,-131236,-120587,-134442,-107256,-97148,-111314,-101568,-92002,-82616,-94474,-116892,-108048,-99384,-67219,-77003,-98860,-122194,-114433,-103826,-116300,-141313,-164362,-124485,-117807,-111309,-132508,-126371,-120415,-91532,-85937,-59077,-59788,-54734,-26080,-19211,-24393,7165,-22579,12599,16389,50414,53843,66492
-781522,-727879,-690678,-672754,-626006,-608452,-591083,-573898,-556899,-570689,-554059,-537613,-520543,-504468,-509944,-478843,-463322,-459790,-459500,-413333,-389999,-404593,-422130,-428649,-414605,-400747,-395860,-382505,-370161,-339096,-326162,-331875,-319310,-306930,-286476,-243488,-248910,-266525,-255069,-245046,-222688,-217647,-195180,-215983,-239078,-228915,-218937,-176752,-171699,-162275,-151779,-142725,-133856,-125171,-116671,-120590,-146778,-146195,-138434,-158207,-114880,-107674,-106310,-66284,-87074,-80606,-49859,-15498,-43398,-37670,-25328,-31360,-26186,-30936,-8865,-4245,17106,-1398,-4730,16893,53016,67992,82236
-781094,-762376,-743848,-720457,-702307,-653621,-654309,-636726,-604558,-587353,-573581,-523042,-507857,-491408,-475149,-495352,-511843,-526092,-510589,-495275,-480150,-460394,-465946,-450507,-470805,-485909,-446978,-433176,-397264,-413578,-410959,-397914,-375083,-399669,-400967,-388678,-379928,-368017,-373510,-397540,-386196,-388779,-395690,-384913,-374325,-336282,-326073,-316053,-309711,-313458,-304005,-275351,-243808,-209749,-205921,-208438,-200119,-157550,-149609,-105466,-97904,-112668,-104360,-97365,-100717,-98234,-91805,-85566,-70858,-78259,-72587,-44068,-38775,-66821,-61906,-57179,-52641,-48293,-59872,-87628,-91081,-87489,-84086
